metric,vectorized,backtrader,difference
annual_return,0.04080889938376653,0.0428687626833148,-0.00205986329954827
annual_volatility,0.1931514885565731,0.179003321606719,0.014148166949854102
sharpe,0.2112792383260034,0.2394858503100857,-0.028206611984082308
max_drawdown,-0.3030973797149106,-0.2646200717194465,-0.03847730799546406
calmar,0.13463956508680755,0.1620011755146255,-0.027361610427817956
win_rate,0.5092783505154639,0.488659793814433,0.02061855670103091
