year,month,strategy_return,benchmark_return,hs300_return,excess_return
2020,1,-0.14701885173561235,-0.12987383089192495,-0.0357252866584572,-0.01714502084368741
2020,2,0.10536382794018095,0.14599907604358653,-0.015947447252067093,-0.040635248103405575
2020,3,-0.09320735191226248,-0.10321730744649993,-0.06443930012037913,0.010009955534237447
2020,4,0.0272160500509242,0.06399847483680321,0.06142498077264813,-0.03678242478587901
2020,5,0.020682404859445613,0.016576916594439828,-0.011642965748660972,0.0041054882650057856
2020,6,0.050487709516254586,0.08045937270528114,0.07678800979461453,-0.029971663189026554
2020,7,0.1872844612566149,0.14159985473199388,0.12754240910824421,0.04568460652462103
2020,8,0.05757401932986217,0.03152696676292521,0.025807840860345266,0.026047052566936957
2020,9,-0.03292237103483231,-0.056327108877811116,-0.04751033747455213,0.023404737842978807
2020,10,-0.0022700886586446423,-0.004923255526166126,0.023529475879012107,0.0026531668675214837
2020,11,0.09371846202541745,0.092565819703877,0.05642154530433863,0.0011526423215404424
2020,12,-0.003302871231914195,-0.0036176975832847846,0.05060972708644651,0.00031482635137058956
2021,1,0.015043995299137247,0.019841460379272924,0.026994472960528704,-0.004797465080135677
2021,2,0.05539064781953762,0.05536012700943016,-0.002840825752783882,3.052081010745944e-05
2021,3,-0.03309900923228537,-0.04380631708195171,-0.054040268994620444,0.010707307849666337
2021,4,-0.01764499545382059,-0.007496708646913874,0.014881661592742512,-0.010148286806906714
2021,5,0.019147248339797196,0.02114112144275615,0.040613144675434976,-0.001993873102958954
2021,6,-0.048971253893817734,-0.04262816016348858,-0.02016835566259112,-0.006343093730329152
2021,7,-0.05320866614027975,-0.04195071647859405,-0.07903287895328537,-0.011257949661685696
2021,8,0.06414550364557647,0.044968336140401854,-0.0011556440533175838,0.01917716750517462
2021,9,0.02595968509379043,0.013741657965906429,0.012646261348715493,0.012218027127884001
2021,10,-0.018080818871409887,-0.03210583818194501,0.008710165229494082,0.014025019310535125
2021,11,-0.024807407973538753,0.008282555395583646,-0.015634059041266912,-0.0330899633691224
2021,12,0.07028789548844161,0.06397494539491322,0.022422685639522433,0.006312950093528391
2022,1,-0.07310310744706017,-0.08700267115963756,-0.07622926447051692,0.01389956371257739
2022,2,-0.01458962565593036,0.0034137877477620204,0.003916497143152453,-0.01800341340369238
2022,3,-0.09583808320583298,-0.08005813457023991,-0.07836681402273338,-0.015779948635593066
2022,4,-0.05292133224915507,-0.0733542682431002,-0.048869451666829766,0.020432935993945134
2022,5,0.025265503538413725,0.018980058755674545,0.018743148132793985,0.00628544478273918
2022,6,0.10005199353329752,0.1048213633917583,0.09617286298141736,-0.00476936985846077
2022,7,-0.01931902853843559,-0.03430838128935476,-0.07021365164990667,0.014989352750919172
2022,8,0.011456629831451126,-0.0281595341588875,-0.0218848363900932,0.039616163990338626
2022,9,-0.0943259785705105,-0.08775787931785606,-0.06716492924458906,-0.006568099252654447
2022,10,0.01808074014346306,-0.02215717561904107,-0.07784256291583058,0.04023791576250413
2022,11,0.11943897045243146,0.1265742453160401,0.09813711790368052,-0.007135274863608654
2022,12,-0.013613690517823351,-0.01967602387683043,0.004826582251870271,0.006062333359007077
2023,1,0.08567256149239388,0.09062012622896232,0.07367018679968274,-0.004947564736568433
2023,2,0.027936023084687456,0.021586319817631372,-0.021025255132602783,0.006349703267056084
2023,3,-0.029447913334200715,-0.024750764420364946,-0.0045541680110305904,-0.004697148913835769
2023,4,-0.004779799774862203,-0.029372220525637815,-0.005391359901415593,0.024592420750775612
2023,5,-0.056401516640746885,-0.05622448173436578,-0.05721967711783771,-0.00017703490638110164
2023,6,0.050732341994454755,0.05986678969279313,0.011559432129634839,-0.009134447698338377
2023,7,0.06541374461228733,0.06247684941479714,0.044809408159165676,0.002936895197490186
2023,8,-0.010060817731274874,-0.03841580983207793,-0.062113320530161276,0.028354992100803056
2023,9,-0.031239879596662856,-0.02808986679060521,-0.020118355453051517,-0.003150012806057645
2023,10,-0.033663181466715875,-0.03627684714257762,-0.03171444934391132,0.0026136656758617427
2023,11,-0.026064452528510307,-0.0008120490675788128,-0.02135839659891392,-0.025252403460931494
2023,12,-0.019523360199481754,-0.025381762556133558,-0.01861819808517995,0.005858402356651804
