trade_date,strategy_gross_ret,cost,benchmark_ret,exposure,strategy_ret,strategy_nav,benchmark_nav,excess_nav,drawdown
2020-01-02,-0.0021052734077023952,0.00075,-0.00045098223619199576,1.0,-0.0028552734077023955,0.9971447265922976,0.999549017763808,0.9975946240466632,-0.002855273407702419
2020-01-03,-0.010497177143171346,0.0,-0.004003331644180007,1.0,-0.010497177143171346,0.9866775217598791,0.9955474915510851,0.9910903599612446,-0.013322478240120894
2020-01-06,0.006640541834669731,0.0,0.008005332831279209,1.0,0.006640541834669731,0.9932295951204538,1.0035171805702967,0.9897484710286709,-0.006770404879546166
2020-01-07,-0.010685481337542225,0.0,-0.011321919976776298,1.0,-0.010685481337542225,0.9826164588178996,0.9921554393565596,0.9903855987073494,-0.017383541182100393
2020-01-08,0.01613340673119756,0.0,0.014685794320537387,1.0,0.01613340673119756,0.9984694098087779,1.0067260300729524,0.9917985429823681,-0.0015305901912221476
2020-01-09,0.0027138953195725156,0.0,0.002159585961287724,1.0,0.0027138953195725156,1.0011791512667942,1.0089001414743608,0.9923471214938245,0.0
2020-01-10,0.00793090873774425,0.0,0.00825187707540251,1.0,0.00793090873774425,1.0091194117456233,1.0172254614231635,0.9920312162986961,0.0
2020-01-13,-0.006458649479567335,0.0,-0.005169765755637343,1.0,-0.006458649479567335,1.0026018631821312,1.0119666440669357,0.9907459589308508,-0.006458649479567202
2020-01-14,-0.004694883279171791,0.0,-0.00449787942615135,1.0,-0.004694883279171791,0.9978947644590109,1.0074149401186356,0.9905498962934741,-0.011123210153291319
2020-01-15,-0.0027834516496322253,0.0,-0.00423296982925355,1.0,-0.0027834516496322253,0.9951171726307181,1.0031505830715741,0.9919918199955002,-0.013875700885273234
2020-01-16,0.00215768653943435,0.0,-0.0006485523850769541,1.0,0.00215768653943435,0.9972643235592634,1.0024999873683316,0.9947773926433532,-0.011747953758864171
2020-01-17,0.0034950003971732256,0.0,0.004507711536370261,1.0,0.0034950003971732256,1.0007497627661897,1.0070189681266029,0.9937744912868165,-0.00829401246474426
2020-01-20,-0.024903864381233227,0.0,-0.018700158835873913,1.0,-0.024903864381233227,0.9758272263947091,0.9881875534718975,0.9874919219193142,-0.03299132388437931
2020-01-21,0.005568641323075636,0.0,0.003960501174500676,1.0,0.005568641323075636,0.9812612582117929,0.9921012714380499,0.9890736827596799,-0.02760639941078924
2020-01-22,-0.038392300188939577,0.0,-0.03519137994582502,1.0,-0.038392300188939577,0.9435883814227491,0.9571878586501374,0.9857922589547189,-0.06493882642641413
2020-01-23,-0.09602410854375222,0.0,-0.090955697729848,1.0,-0.09602410854375222,0.8529811482643876,0.870126169108075,0.9802959370119141,-0.1547272420526924
2020-02-03,0.021669505950750043,0.0,0.016971565588543017,0.5,0.010834752975375022,0.862222988298484,0.8848935724574004,0.9743804397901107,-0.14556892052351944
2020-02-04,0.007861855537143055,0.0,0.015252910180835733,0.5,0.0039309277685715275,0.8656123245858872,0.8983907746376919,0.9635142624154575,-0.1422102136668747
