rebalance_days,top_n,annual_return,gross_return,annual_cost,net_return_after_cost,avg_turnover,sharpe,calmar
5,10,0.03721573262309863,0.051269498689874515,0.013444329896907217,0.03721573262309863,0.17783505154639176,0.19715497197004422,0.14989790269073103
5,20,0.029277826567708054,0.03898169327935941,0.009372061855670103,0.029277826567708054,0.12396907216494844,0.15175682393607318,0.10062524817171827
5,30,0.04058631516834654,0.04661973892813975,0.005773917525773197,0.04058631516834654,0.07637457044673539,0.20757838277734686,0.14853801940550693
20,10,0.06341888493997949,0.07159301538872898,0.007637938144329897,0.06341888493997949,0.4,0.3275779204425705,0.2491307180920119
20,20,0.04080889938376653,0.04672030766299695,0.005650515463917527,0.04080889938376653,0.2959183673469388,0.2112792383260034,0.13463956508680755
20,30,0.03855132251998339,0.04225236772400853,0.0035526804123711345,0.03855132251998339,0.18605442176870746,0.19826965845075747,0.13963642284404626
60,10,0.04732833472622899,0.05070463291931526,0.0032149484536082478,0.04732833472622899,0.4852941176470588,0.2321827251646901,0.17641839166766946
60,20,0.020583506695963205,0.023122201397178355,0.002484278350515464,0.020583506695963205,0.375,0.10469797260573951,0.07698113436487752
60,30,0.0632400389591048,0.06501901319064918,0.0016756701030927836,0.0632400389591048,0.2529411764705883,0.3198788969946931,0.25061694246354144
