trade_date,strategy_gross_ret,cost,benchmark_ret,exposure,strategy_ret,strategy_nav,benchmark_nav,excess_nav,drawdown
2020-01-02,-0.0021052734077023952,0.00075,-0.00045098223619199576,1.0,-0.0028552734077023955,0.9971447265922976,0.999549017763808,0.9975946240466632,0.0
2020-01-03,-0.010497177143171346,0.0,-0.004003331644180007,1.0,-0.010497177143171346,0.9866775217598791,0.9955474915510851,0.9910903599612446,-0.010497177143171332
2020-01-06,0.006640541834669731,0.0,0.008005332831279209,1.0,0.006640541834669731,0.9932295951204538,1.0035171805702967,0.9897484710286709,-0.003926342252466797
2020-01-07,-0.010685481337542225,0.0,-0.011321919976776298,1.0,-0.010685481337542225,0.9826164588178996,0.9921554393565596,0.9903855987073494,-0.014569868733145475
2020-01-08,0.01613340673119756,0.0,0.014685794320537387,1.0,0.01613340673119756,0.9984694098087779,1.0067260300729524,0.9917985429823681,0.0
2020-01-09,0.0027138953195725156,0.0,0.002159585961287724,0.8184706772939888,0.0022212437403155033,1.000687253735212,1.0089001414743608,0.9918595632991519,0.0
2020-01-10,0.00793090873774425,0.0,0.00825187707540251,0.9094562623737531,0.007212814617856225,1.0079050253868558,1.0172254614231635,0.9908373940785282,0.0
2020-01-13,-0.006458649479567335,0.0,-0.005169765755637343,0.9538649821604117,-0.006160679570607848,1.001695645487842,1.0119666440669357,0.9898504573848244,-0.00616067957060773
2020-01-14,-0.004694883279171791,0.0,-0.00449787942615135,0.9855366544299802,-0.004626979559894222,0.9970608202109348,1.0074149401186356,0.9897220901781727,-0.010759153792053722
2020-01-15,-0.0027834516496322253,0.0,-0.00423296982925355,1.0,-0.0027834516496322253,0.994285549626135,1.0031505830715741,0.9911628088593688,-0.013512657857314814
2020-01-16,0.00215768653943435,0.0,-0.0006485523850769541,1.0,0.00215768653943435,0.9964309061729174,1.0024999873683316,0.993946053594129,-0.011384127397851107
2020-01-17,0.0034950003971732256,0.0,0.004507711536370261,1.0,0.0034950003971732256,0.9999134325857474,1.0070189681266029,0.9929439903658676,-0.007928914530454967
2020-01-20,-0.024903864381233227,0.0,-0.018700158835873913,1.0,-0.024903864381233227,0.9750117240676585,0.9881875534718975,0.986666671364209,-0.03263531829953137
2020-01-21,0.005568641323075636,0.0,0.003960501174500676,0.9180922141399305,0.005112526242053622,0.9799964970932644,0.9921012714380499,0.9877988520998067,-0.027689640978701746
