strategy_variant,signal,rebalance_days,top_n,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,benchmark_annual_return,excess_annual_return,information_ratio,avg_turnover,annual_cost,weight_method,trade_constraints,portfolio_constraints
unconstrained,composite_ic_weight_industry_size_neutral,20,20,0.04080889938376653,0.1931514885565731,0.2112792383260034,-0.3030973797149106,0.13463956508680755,0.5092783505154639,0.014751314341899358,0.02605758504186717,0.3873648689245953,0.2959183673469388,0.005650515463917527,,,
trade_constraints,composite_ic_weight_industry_size_neutral__equal_weight__trade_constraints,20,20,0.047675359215056945,0.19211401590696092,0.2481617959521792,-0.3057883400322561,0.15590967010065823,0.5103092783505154,0.014751314341899358,0.03292404487315759,0.4935419159129968,0.2969387755102041,0.005670000000000001,equal_weight,True,False
portfolio_constraints,composite_ic_weight_industry_size_neutral__equal_weight__portfolio_constraints,20,20,0.01863505393046272,0.12243622340491227,0.15220212950242845,-0.19059748299864976,0.09777177346352856,0.5051546391752577,0.014751314341899358,0.003883739588563362,0.04021976930400261,0.16263955728636334,0.0031055771959361046,equal_weight,False,True
