trade_date,strategy_gross_ret,benchmark_ret,turnover,cost,is_rebalance,strategy_ret,strategy_nav,benchmark_nav,excess_nav,drawdown
2020-01-02,0.0067158139238934055,-0.00045098223619199576,0.5000000000000001,0.0007500000000000002,True,0.005965813923893405,1.0059658139238934,0.999549017763808,1.0064196913268357,0.0
2020-01-03,-0.007959960447777921,-0.004003331644180007,0.0,0.0,False,-0.007959960447777921,0.9979583658332425,0.9955474915510851,1.0024216567292046,-0.007959960447777914
2020-01-06,0.008099103004052281,0.008005332831279209,0.0,0.0,False,0.008099103004052281,1.0060409334318816,1.0035171805702967,1.0025149074778676,0.0
2020-01-07,-0.0053732293148888955,-0.011321919976776298,0.0,0.0,False,-0.0053732293148888955,1.000635244796387,0.9921554393565596,1.0085468517365856,-0.005373229314889039
2020-01-08,0.018335245818121813,0.014685794320537387,0.0,0.0,False,0.018335245818121813,1.0189821379840054,1.0067260300729524,1.0121742237162228,0.0
2020-01-09,0.0021007634737664005,0.002159585961287724,0.0,0.0,False,0.0021007634737664005,1.0211227784399026,1.0089001414743608,1.0121148134122375,0.0
2020-01-10,0.00912875474422249,0.00825187707540251,0.0,0.0,False,0.00912875474422249,1.0304443578480196,1.0172254614231635,1.0129950506806642,0.0
2020-01-13,-0.007342303766943246,-0.005169765755637343,0.0,0.0,False,-0.007342303766943246,1.0228785223577668,1.0119666440669357,1.010782843836609,-0.007342303766943115
2020-01-14,-0.004026168391814715,-0.00449787942615135,0.0,0.0,False,-0.004026168391814715,1.0187602411823837,1.0074149401186356,1.011261795524307,-0.011338910807408342
2020-01-15,-0.004646761733900365,-0.00423296982925355,0.0,0.0,False,-0.004646761733900365,1.0140263050776384,1.0031505830715741,1.0108415647556757,-0.01593298332446469
2020-01-16,0.002097362587573485,-0.0006485523850769541,0.0,0.0,False,0.002097362587573485,1.0161530859127237,1.0024999873683316,1.0136190510887018,-0.013869037980024257
2020-01-17,0.010992916708253746,0.004507711536370261,0.0,0.0,False,0.010992916708253746,1.027323572148997,1.0070189681266029,1.0201630800064945,-0.003028582451108708
2020-01-20,-0.015745564219620756,-0.018700158835873913,0.0,0.0,False,-0.015745564219620756,1.0111477828693949,0.9881875534718975,1.023234687905984,-0.018726459931251105
2020-01-21,0.00649858993834165,0.003960501174500676,0.0,0.0,False,0.00649858993834165,1.0177188176773264,0.9921012714380499,1.0258215032847844,-0.0123495655769994
2020-01-22,-0.03417925063610445,-0.03519137994582502,0.0,0.0,False,-0.03417925063610445,0.9829339511308531,0.9571878586501374,1.0268976379589936,-0.04610671731600069
2020-01-23,-0.08553059598399507,-0.090955697729848,0.0,0.0,False,-0.08553059598399507,0.8988630244777283,0.870126169108075,1.0330260787342025,-0.12769377828909256
2020-02-03,0.030351129345196397,0.016971565588543017,0.0,0.0,False,0.030351129345196397,0.9261445323972661,0.8848935724574004,1.0466168601782353,-0.10121829932532533
2020-02-04,0.014098696435592587,0.015252910180835733,0.0,0.0,False,0.014098696435592587,0.9392019630150191,0.8983907746376919,1.045426989601252,-0.08854664896564735
2020-02-05,0.024627343817896597,0.021598836779577066,0.0,0.0,False,0.024627343817896597,0.9623320126726334,0.9177949703433691,1.0485261346688377,-0.0660999739157504
2020-02-06,-0.004636540487073395,0.0001117839999525153,0.0,0.0,False,-0.004636540487073395,0.9578701213338698,0.9178975651362904,1.0435479488298287,-0.07043003919756885
2020-02-07,0.010421650726693755,0.014201156806900251,0.6500000000000001,0.0009750000000000002,True,0.009446650726693755,0.9669187858116466,0.9309327723914628,1.0386558669835415,-0.061648716451842
2020-02-10,0.012075951553226407,0.009291457963435779,0.0,0.0,False,0.012075951553226407,0.9785952502250126,0.9395824951129228,1.0415213728597628,-0.050317231811806584
2020-02-11,0.00420274224061874,0.005587210644678242,0.0,0.0,False,0.00420274224061874,0.9827080338196021,0.944832140431171,1.0400874311612076,-0.04632595992675426
2020-02-12,-0.01025067147987084,-0.0035997138692453697,0.0,0.0,False,-0.01025067147987084,0.9726346166042876,0.9414310150711521,1.0331448624844564,-0.05610175921042626
2020-02-13,0.01853778863035244,0.010685481004263742,0.0,0.0,False,0.01853778863035244,0.9906651115414618,0.9514906582995197,1.041171663536827,-0.03860397313410768
2020-02-14,0.025110584791517874,0.024638536532901,0.0,0.0,False,0.025110584791517874,1.0155412918248221,0.9749339956447464,1.041651328563244,-0.014462756683263356
2020-02-17,-0.009762499524688271,-0.0020307138870447957,0.0,0.0,False,-0.009762499524688271,1.005627070446081,0.9729541836408385,1.0335811154878631,-0.024084063552705537
2020-02-18,0.0014318647877413853,-0.002353231218508215,0.0,0.0,False,0.0014318647877413853,1.0070669924378524,0.9706645974817167,1.037502547275936,-0.02268668388751094
2020-02-19,0.02224010337200387,0.02574178849457362,0.0,0.0,False,0.02224010337200387,1.0294642664522033,0.9956512402492615,1.0339607131855495,-0.0009511347103331458
2020-02-20,-0.004828897142435996,0.0018137457978137479,0.0,0.0,False,-0.004828897142435996,1.0244930893976925,0.9974570985023518,1.0271049160268992,-0.0057754389210842305
2020-02-21,-0.00874362891275567,0.0006030447740888956,0.0,0.0,False,-0.00874362891275567,1.0155353020003164,0.9980586097929813,1.0175106872841466,-0.014468569539105691
2020-02-24,-0.005008363270140786,0.0014031804837689216,0.0,0.0,False,-0.005008363270140786,1.0104491322942466,0.9994590661559003,1.0109960142546068,-0.019404468956995435
2020-02-25,0.00483037784866911,-0.0066796243763979505,0.0,0.0,False,0.00483037784866911,1.0153299834000877,0.9927830550143935,1.0227108312050788,-0.014667822025341337
2020-02-26,0.00040176790776037547,0.0031010627342576915,0.0,0.0,False,0.00040176790776037547,1.0157379104032047,0.995861737549501,1.0199587674716901,-0.01427194717774749
2020-02-27,-0.03380275099424563,-0.0375387070849528,0.0,0.0,False,-0.03380275099424563,0.9814031747424298,0.9584783754865182,1.023917909722559,-0.0475922670953407
2020-02-28,0.03852801397584683,0.040361276103954194,0.0,0.0,False,0.03852801397584683,1.0192146899748467,0.9971637858391991,1.0221136231066492,-0.01089788865128527
2020-03-02,0.008338543481212915,0.006134544650010798,0.0,0.0,False,0.008338543481212915,1.0277134559838927,1.0032809316068034,1.0243526250797566,-0.002650217688444645
2020-03-03,0.01494817511584179,0.011885715301753492,0.0,0.0,False,0.01494817511584179,1.0430758966928468,1.01520564312756,1.0274528158447056,0.0
2020-03-04,0.02094596721808989,0.02091703845571693,0.0,0.0,False,0.02094596721808989,1.064924130230955,1.03644073860532,1.0274819298052327,0.0
2020-03-05,-0.02033831780988897,-0.014165111098369968,0.0,0.0,False,-0.02033831780988897,1.0432653648268981,1.021759440396099,1.0210479331832374,-0.02033831780988893
2020-03-06,-0.032976721137134936,-0.03535446739665216,0.3500000000000001,0.0005250000000000002,True,-0.033501721137134934,1.0083141795024362,0.9856356795733936,1.0230090087027475,-0.05315867029535848
2020-03-09,0.019643269483232306,0.020241875491099185,0.0,0.0,False,0.019643269483232306,1.0281207666541667,1.0055867942789032,1.0224087791361882,-0.03455961089810822
2020-03-10,-0.012770224499262146,-0.012442392679059814,0.0,0.0,False,-0.012770224499262146,1.0149914336516395,0.9930748885116082,1.0220693780434618,-0.046888501407594485
2020-03-11,-0.014936839326503566,-0.02260290288278686,0.0,0.0,False,-0.014936839326503566,0.9998306696894074,0.9706285132512459,1.0300858217531084,-0.061124974722312264
2020-03-12,-0.01400297154238104,-0.014451102572434982,0.0,0.0,False,-0.01400297154238104,0.9858300692745467,0.9566018610465221,1.0305542038106104,-0.07427201498312808
2020-03-13,-0.04019749124962222,-0.04770001707300839,0.0,0.0,False,-0.04019749124962222,0.9462021736912687,0.9109719359425313,1.0386732415771804,-0.11148395756037421
2020-03-16,-0.006364025547584116,-0.005167829085728942,0.0,0.0,False,-0.006364025547584116,0.9401805188847179,0.9062641886756847,1.0374243301598343,-0.11713849635389828
2020-03-17,-0.026240268083744522,-0.020981765236965592,0.0,0.0,False,-0.026240268083744522,0.9155099300220688,0.8872491662262224,1.0318521164872425,-0.14030501889038982
2020-03-18,-0.023691230626232365,-0.012104756114111251,0.0,0.0,False,-0.023691230626232365,0.8938203731293102,0.8765092314566054,1.0197500962356514,-0.16067225095607207
2020-03-19,0.02104069223855183,0.0177533372641298,0.0,0.0,False,0.02104069223855183,0.9126269725168715,0.8920701954577778,1.0230439007644963,-0.14301221410116227
