risk_control,signal,rebalance_days,top_n,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,benchmark_annual_return,excess_annual_return,information_ratio,avg_turnover,annual_cost,avg_exposure
none,composite_ic_weight_industry_size_neutral,5,10,0.03721573262309863,0.18876385541396945,0.19715497197004422,-0.24827387144890234,0.14989790269073103,0.5061855670103093,0.014751314341899358,0.022464418281199272,0.23314350324213548,0.17783505154639176,0.013444329896907217,
vol_target,vol_target_15pct,5,10,0.012042905687416061,0.1524453151193395,0.07899820127623111,-0.23144136350572087,0.05203437062847402,0.5061855670103093,0.014751314341899358,-0.0027084086544832964,-0.02452870525114165,0.17783505154639176,0.0,0.8603305163687802
drawdown_control,drawdown_control,5,10,-0.0017448647299762587,0.14964945782530686,-0.011659679596120721,-0.21080197478919704,-0.008277269374355394,0.5061855670103093,0.014751314341899358,-0.016496179071875616,-0.14352886263485104,0.17783505154639176,0.0,0.7283505154639175
none,composite_ic_weight_industry_size_neutral,5,20,0.029277826567708054,0.1929259311597164,0.15175682393607318,-0.29095904953938667,0.10062524817171827,0.5030927835051546,0.014751314341899358,0.014526512225808696,0.21455502279855995,0.12396907216494844,0.009372061855670103,
vol_target,vol_target_15pct,5,20,0.006905409663864104,0.15307564925276637,0.045111091787443845,-0.25346985368418795,0.02724351461719757,0.5030927835051546,0.014751314341899358,-0.007845904678035254,-0.08601160439247396,0.12396907216494844,0.0,0.8517828171605419
drawdown_control,drawdown_control,5,20,-0.002556524664174109,0.13388506263123592,-0.019094920777052105,-0.21151814047334405,-0.01208655039446268,0.5030927835051546,0.014751314341899358,-0.017307839006073467,-0.16808680472086496,0.12396907216494844,0.0,0.6391752577319587
none,composite_ic_weight_industry_size_neutral,5,30,0.04058631516834654,0.19552284118081947,0.20757838277734686,-0.27323856431360116,0.14853801940550693,0.5020618556701031,0.014751314341899358,0.025835000826447185,0.5006678102818249,0.07637457044673539,0.005773917525773197,
vol_target,vol_target_15pct,5,30,0.011493626704019766,0.15432545279362328,0.0744765461300152,-0.2534186865493945,0.04535429829788623,0.5020618556701031,0.014751314341899358,-0.0032576876378795916,-0.039581374259214853,0.07637457044673539,0.0,0.8441335628509138
drawdown_control,drawdown_control,5,30,0.00966766670744068,0.1373269376149254,0.07039890989595583,-0.20787746297919352,0.046506564823760234,0.5020618556701031,0.014751314341899358,-0.005083647634458677,-0.05390139755455125,0.07637457044673539,0.0,0.6422680412371135
none,composite_ic_weight_industry_size_neutral,20,10,0.06341888493997949,0.19359938806100885,0.3275779204425705,-0.25456067973342766,0.2491307180920119,0.4927835051546392,0.014751314341899358,0.048667570598080134,0.4879128806884515,0.4,0.007637938144329897,
vol_target,vol_target_15pct,20,10,0.027406545368202195,0.15293553194769258,0.1792032565563368,-0.22284340440955552,0.12298566987350783,0.4927835051546392,0.014751314341899358,0.012655231026302838,0.11266599809996274,0.4,0.0,0.8436382748299083
drawdown_control,drawdown_control,20,10,-0.0014691923706687815,0.14524977898327007,-0.010114937048117669,-0.19063241977136425,-0.007706938685617395,0.4927835051546392,0.014751314341899358,-0.01622050671256814,-0.1412929039062381,0.4,0.0,0.7056701030927836
none,composite_ic_weight_industry_size_neutral,20,20,0.04080889938376653,0.1931514885565731,0.2112792383260034,-0.3030973797149106,0.13463956508680755,0.5092783505154639,0.014751314341899358,0.02605758504186717,0.3873648689245953,0.2959183673469388,0.005650515463917527,
vol_target,vol_target_15pct,20,20,0.014151953331685174,0.15283654314462725,0.09259535082714716,-0.26569785585896244,0.05326333284073359,0.5092783505154639,0.014751314341899358,-0.0005993610102141833,-0.006551588056281874,0.2959183673469388,0.0,0.8532131647739385
drawdown_control,drawdown_control,20,20,0.009154976531893011,0.1345393695997163,0.06804682197583536,-0.23475231580680167,0.03899845034724789,0.5092783505154639,0.014751314341899358,-0.0055963378100063466,-0.05499985135251672,0.2959183673469388,0.0,0.6412371134020619
none,composite_ic_weight_industry_size_neutral,20,30,0.03855132251998339,0.19443884062350392,0.19826965845075747,-0.27608357285863483,0.13963642284404626,0.4927835051546392,0.014751314341899358,0.02380000817808403,0.4712583006785081,0.18605442176870746,0.0035526804123711345,
vol_target,vol_target_15pct,20,30,0.014049587830693433,0.15351605601321255,0.09151868668046187,-0.24318882426666888,0.05777234160763633,0.4927835051546392,0.014751314341899358,-0.0007017265112059246,-0.00861354362784873,0.18605442176870746,0.0,0.8446039772190195
drawdown_control,drawdown_control,20,30,0.013166756346338238,0.14974250718607882,0.0879293167569076,-0.21410153989584202,0.06149771903903034,0.4927835051546392,0.014751314341899358,-0.00158455799556112,-0.01762882938857868,0.18605442176870746,0.0,0.7170103092783505
none,composite_ic_weight_industry_size_neutral,60,10,0.04732833472622899,0.2038408959695792,0.2321827251646901,-0.2682732467904162,0.17641839166766946,0.5175257731958763,0.014751314341899358,0.032577020384329636,0.3202975502564547,0.4852941176470588,0.0032149484536082478,
vol_target,vol_target_15pct,60,10,0.025880229217007056,0.15397064511242078,0.16808547628095444,-0.22817384583894107,0.1134232940758464,0.5175257731958763,0.014751314341899358,0.011128914875107698,0.09908671726265775,0.4852941176470588,0.0,0.8237985983876605
drawdown_control,drawdown_control,60,10,-0.014251498568757848,0.1604969459526818,-0.08879607324714776,-0.21443881797099573,-0.06645950907398425,0.5175257731958763,0.014751314341899358,-0.029002812910657205,-0.2509955441963126,0.4852941176470588,0.0,0.7376288659793815
