signal,rebalance_days,top_n,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,benchmark_annual_return,excess_annual_return,information_ratio,avg_turnover,annual_cost,weight_method,trade_constraints,portfolio_constraints,model
composite_ic_weight_industry_size_neutral__equal_weight,20,20,0.05095047534613095,0.1917683025643147,0.2656876796885832,-0.30309737971490835,0.16809935933479422,0.5092783505154639,0.014751314341899358,0.036199161004231595,0.5392822131726088,0.2969387755102041,0.005670000000000001,equal_weight,False,False,equal_weight
composite_ic_weight_industry_size_neutral__inverse_vol_weight,20,20,0.05418692734346231,0.18942542592523795,0.286059419313903,-0.30341133941583864,0.1785922946973209,0.5020618556701031,0.014751314341899358,0.03943561300156295,0.5566367562377061,0.3556810636887107,0.006791674908909587,inverse_vol_weight,False,False,inverse_vol_weight
composite_ic_weight_industry_size_neutral__risk_parity_weight,20,20,0.050072388001073165,0.18857569962224188,0.2655293768040052,-0.2950320724460831,0.16971845666109356,0.5123711340206185,0.014751314341899358,0.03532107365917381,0.5015563516146224,0.2959925188646045,0.005651931375680622,risk_parity_weight,False,False,risk_parity_weight
