risk_control,signal,rebalance_days,top_n,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,benchmark_annual_return,excess_annual_return,information_ratio,avg_turnover,annual_cost,avg_exposure
base,composite_ic_weight_industry_size_neutral,20,20,0.04080889938376653,0.1931514885565731,0.2112792383260034,-0.3030973797149106,0.13463956508680755,0.5092783505154639,0.014751314341899358,0.02605758504186717,0.3873648689245953,0.2959183673469388,0.005650515463917527,1.0
vol_target_15pct,vol_target_15pct,20,20,0.014151953331685174,0.15283654314462725,0.09259535082714716,-0.26569785585896244,0.05326333284073359,0.5092783505154639,0.014751314341899358,-0.0005993610102141833,-0.006551588056281874,,0.0,0.8532131647739385
drawdown_control,drawdown_control,20,20,0.009154976531893011,0.1345393695997163,0.06804682197583536,-0.23475231580680167,0.03899845034724789,0.5092783505154639,0.014751314341899358,-0.0055963378100063466,-0.05499985135251672,,0.0,0.6412371134020619
