ranking,rebalance_days,top_n,annual_return,sharpe,max_drawdown,calmar,avg_turnover,reason
1,60,30,0.0632400389591048,0.3198788969946931,-0.25233744509633327,0.25061694246354144,0.2529411764705883,"Calmar 0.25, annual return 6.32%, turnover 25.29%; balances return, drawdown, and trading frequency."
2,20,10,0.06341888493997949,0.3275779204425705,-0.25456067973342766,0.2491307180920119,0.4,"Calmar 0.25, annual return 6.34%, turnover 40.00%; balances return, drawdown, and trading frequency."
3,60,10,0.04732833472622899,0.2321827251646901,-0.2682732467904162,0.17641839166766946,0.4852941176470588,"Calmar 0.18, annual return 4.73%, turnover 48.53%; balances return, drawdown, and trading frequency."
4,5,30,0.04058631516834654,0.20757838277734686,-0.27323856431360116,0.14853801940550693,0.07637457044673539,"Calmar 0.15, annual return 4.06%, turnover 7.64%; balances return, drawdown, and trading frequency."
5,20,20,0.04080889938376653,0.2112792383260034,-0.3030973797149106,0.13463956508680755,0.2959183673469388,"Calmar 0.13, annual return 4.08%, turnover 29.59%; balances return, drawdown, and trading frequency."
6,5,10,0.03721573262309863,0.19715497197004422,-0.24827387144890234,0.14989790269073103,0.17783505154639176,"Calmar 0.15, annual return 3.72%, turnover 17.78%; balances return, drawdown, and trading frequency."
7,20,30,0.03855132251998339,0.19826965845075747,-0.27608357285863483,0.13963642284404626,0.18605442176870746,"Calmar 0.14, annual return 3.86%, turnover 18.61%; balances return, drawdown, and trading frequency."
8,5,20,0.029277826567708054,0.15175682393607318,-0.29095904953938667,0.10062524817171827,0.12396907216494844,"Calmar 0.10, annual return 2.93%, turnover 12.40%; balances return, drawdown, and trading frequency."
9,60,20,0.020583506695963205,0.10469797260573951,-0.2673837800103188,0.07698113436487752,0.375,"Calmar 0.08, annual return 2.06%, turnover 37.50%; balances return, drawdown, and trading frequency."
