trade_date,strategy_gross_ret,benchmark_ret,turnover,cost,is_rebalance,strategy_ret,strategy_nav,benchmark_nav,excess_nav,drawdown,hs300_ret,hs300_nav,excess_vs_hs300_nav
2020-01-02,-0.0021052734077023952,-0.00045098223619199576,0.5,0.00075,True,-0.0028552734077023955,0.9971447265922976,0.999549017763808,0.9975946240466632,0.0,0.0,1.0,0.9971447265922976
2020-01-03,-0.010497177143171346,-0.004003331644180007,0.0,0.0,False,-0.010497177143171346,0.9866775217598791,0.9955474915510851,0.9910903599612446,-0.010497177143171332,-0.0017523067663942626,0.9982476932336057,0.9884095184470223
2020-01-06,0.006640541834669731,0.008005332831279209,0.0,0.0,False,0.006640541834669731,0.9932295951204538,1.0035171805702967,0.9897484710286709,-0.003926342252466797,-0.0037804903057082617,0.9944738275066405,0.9987488535627869
2020-01-07,-0.010685481337542225,-0.011321919976776298,0.0,0.0,False,-0.010685481337542225,0.9826164588178996,0.9921554393565596,0.9903855987073494,-0.014569868733145475,0.007490867085059305,1.0019232987680629,0.9807302215909118
2020-01-08,0.01613340673119756,0.014685794320537387,0.0,0.0,False,0.01613340673119756,0.9984694098087779,1.0067260300729524,0.9917985429823681,0.0,-0.011516198515129084,0.9903849511625169,1.0081629457684826
2020-01-09,0.0027138953195725156,0.002159585961287724,0.0,0.0,False,0.0027138953195725156,1.0011791512667942,1.0089001414743608,0.9923471214938245,0.0,0.012657827691785473,1.0029210732228695,0.998263151505554
2020-01-10,0.00793090873774425,0.00825187707540251,0.0,0.0,False,0.00793090873774425,1.0091194117456233,1.0172254614231635,0.9920312162986961,0.0,-0.00028455684773431855,1.0026356851637468,1.006466682442903
2020-01-13,-0.006458649479567335,-0.005169765755637343,0.0,0.0,False,-0.006458649479567335,1.0026018631821312,1.0119666440669357,0.9907459589308508,-0.006458649479567202,0.009800909640095279,1.0124624269159717,0.9902608102071734
2020-01-14,-0.004694883279171791,-0.00449787942615135,0.0,0.0,False,-0.004694883279171791,0.9978947644590109,1.0074149401186356,0.9905498962934741,-0.011123210153291319,-0.0033544339327323813,1.0090661885955081,0.9889289481079072
2020-01-15,-0.0027834516496322253,-0.00423296982925355,0.0,0.0,False,-0.0027834516496322253,0.9951171726307181,1.0031505830715741,0.9919918199955002,-0.013875700885273234,-0.005525687333736484,1.0034904043382842,0.9916558926010981
2020-01-16,0.00215768653943435,-0.0006485523850769541,0.0,0.0,False,0.00215768653943435,0.9972643235592634,1.0024999873683316,0.9947773926433532,-0.011747953758864171,-0.004245771388334485,0.9992298134910765,0.9980329951075557
2020-01-17,0.0034950003971732256,0.004507711536370261,0.0,0.0,False,0.0034950003971732256,1.0007497627661897,1.0070189681266029,0.9937744912868165,-0.00829401246474426,0.001400322917839203,1.0006290578990962,1.000120628984478
2020-01-20,-0.024903864381233227,-0.018700158835873913,0.0,0.0,False,-0.024903864381233227,0.9758272263947091,0.9881875534718975,0.9874919219193142,-0.03299132388437931,0.007455618766777139,1.0080893666817512,0.9679967457714221
2020-01-21,0.005568641323075636,0.003960501174500676,0.0,0.0,False,0.005568641323075636,0.9812612582117929,0.9921012714380499,0.9890736827596799,-0.02760639941078924,-0.01708645597169489,0.9908646921024097,0.9903080269514496
2020-01-22,-0.038392300188939577,-0.03519137994582502,0.0,0.0,False,-0.038392300188939577,0.9435883814227491,0.9571878586501374,0.9857922589547189,-0.06493882642641413,0.004283100758839309,0.9951086654170606,0.9482264743692904
2020-01-23,-0.09602410854375222,-0.090955697729848,0.0,0.0,False,-0.09602410854375222,0.8529811482643876,0.870126169108075,0.9802959370119141,-0.1547272420526924,-0.030985512584793873,0.9642747133415428,0.8845831343108804
2020-02-03,0.021669505950750043,0.016971565588543017,0.0,0.0,False,0.021669505950750043,0.8714648283325804,0.8848935724574004,0.9848244528576159,-0.13641059899434627,-0.07880889162843929,0.8882812919577648,0.9810685378861002
2020-02-04,0.007861855537143055,0.015252910180835733,0.0,0.0,False,0.007861855537143055,0.8783161589186324,0.8983907746376919,0.9776549177865775,-0.12962118388023192,0.026374880095695552,0.9117096045244004,0.963372717101968
2020-02-05,0.017491158285599457,0.021598836779577066,0.0,0.0,False,0.017491158285599457,0.8936789258790778,0.9177949703433691,0.9737239304599056,-0.11439725023904845,0.011329398109380717,0.9220387255942034,0.9692422900167785
2020-02-06,-0.0039353182233306,0.0001117839999525153,0.0,0.0,False,-0.0039353182233306,0.8901620149162593,0.9178975651362904,0.9697836106407878,-0.11788237887881448,0.018609768195444465,0.9391976525447345,0.9477898635121007
2020-02-07,0.007819830007287556,0.014201156806900251,0.5000000000000001,0.0007500000000000002,True,0.007069830007287555,0.8964553090406618,0.9309327723914628,0.962964604562978,-0.11164595725105475,2.4103954715304354e-05,0.9392202909224202,0.9544675702866701
2020-02-10,0.012238105079865912,0.009291457963435779,0.0,0.0,False,0.012238105079865912,0.9074262233121051,0.9395824951129228,0.9657759994805426,-0.10077418712776953,0.004137574877515204,0.9431063852025934,0.9621674050241705
2020-02-11,0.00355599942520123,0.005587210644678242,0.0,0.0,False,0.00355599942520123,0.9106530304406155,0.944832140431171,0.9638252039405031,-0.09757654065406973,0.00931025368966587,0.9518869449051732,0.9566819203842896
2020-02-12,-0.009284034491197945,-0.0035997138692453697,0.0,0.0,False,-0.009284034491197945,0.9021984962964908,0.9414310150711521,0.9583267194870395,-0.10595467117630353,0.008088372215407924,0.9595861608225538,0.9401954020711695
2020-02-13,0.01855246190960609,0.010685481004263742,0.0,0.0,False,0.01855246190960609,0.9189364995339353,0.9514906582995197,0.9657861498884661,-0.08936792926784076,-0.006152443773053795,0.9536823609226924,0.9635666309743421
2020-02-14,0.023220630393152183,0.024638536532901,0.0,0.0,False,0.023220630393152183,0.9402747843443898,0.9749339956447464,0.964449684332286,-0.06822247852921859,0.0070241335744494204,0.9603811532134097,0.9790641780070918
2020-02-17,-0.009568712774630925,-0.0020307138870447957,0.0,0.0,False,-0.009568712774630925,0.9312775650037703,0.9729541836408385,0.9571648703116601,-0.07713839000202993,0.02249147009304031,0.9819815371988286,0.9483656563037887
2020-02-18,-0.0007643717713983996,-0.002353231218508215,0.0,0.0,False,-0.0007643717713983996,0.9305657227217448,0.9706645974817167,0.9586892579949818,-0.07784379936561969,-0.004883720702090311,0.9771858136365402,0.952291477972545
2020-02-19,0.02267563940226808,0.02574178849457362,0.0,0.0,False,0.02267563940226808,0.9516668954902939,0.9956512402492615,0.9558235424404673,-0.056933317887469026,-0.0015280303614703117,0.9756926440445055,0.9753756998160625
2020-02-20,-0.004639478362398335,0.0018137457978137479,0.0,0.0,False,-0.004639478362398335,0.9472516575204559,0.9974570985023518,0.9496665660535399,-0.06130865535342889,0.023040689791526736,0.9981732755878094,0.9489851919373753
2020-02-21,-0.0078868207965748,0.0006030447740888956,0.0,0.0,False,-0.0078868207965748,0.9397808534483336,0.9980586097929813,0.9416088837140177,-0.06871194577195228,0.0011663211615149383,0.9993374662019862,0.9404039028177344
2020-02-24,-0.004330808501676925,0.0014031804837689216,0.0,0.0,False,-0.004330808501676925,0.9357108425385064,0.9994590661559003,0.9362172741475236,-0.0727451759947132,-0.00401278229372759,0.9953273425121523,0.9401036247801884
2020-02-25,0.0031224540157452803,-0.0066796243763979505,0.0,0.0,False,0.0031224540157452803,0.9386325566163672,0.9927830550143935,0.945455859540994,-0.06984986544587868,-0.002174050331987254,0.9931634507727277,0.945093736470132
2020-02-26,0.00020537474375320537,0.0031010627342576915,0.0,0.0,False,0.00020537474375320537,0.9388253280371607,0.995861737549501,0.942726578036135,-0.06965883610034262,-0.012328031011767271,0.9809197009518478,0.9570868309874495
2020-02-27,-0.031301592117247826,-0.0375387070849528,0.0,0.0,False,-0.031301592117247826,0.9094386005496001,0.9584783754865182,0.9488358045511192,-0.09877999574261531,0.0029120933755462097,0.9837762307149324,0.9244364441380034
2020-02-28,0.03674344440244789,0.040361276103954194,0.0,0.0,False,0.03674344440244789,0.9428545072063345,0.9971637858391991,0.9455362505095803,-0.06566606862181013,-0.03545444219114613,0.9488969932140262,0.9936320948944889
2020-03-02,0.007831245453253725,0.006134544650010798,0.0,0.0,False,0.007831245453253725,0.9502382322789737,1.0032809316068034,0.9471307610293368,-0.05834907026988412,0.03289730660710055,0.9801131485383439,0.9695189108482801
2020-03-03,0.013772596209321765,0.011885715301753492,0.0,0.0,False,0.013772596209321765,0.9633254797548118,1.01520564312756,0.9488968922464613,-0.04538009224457884,0.00533115002557949,0.9853382787752448,0.9776596530403807
2020-03-04,0.02180171466745714,0.02091703845571693,0.0,0.0,False,0.02180171466745714,0.9843276269963175,1.03644073860532,0.9497191593615586,-0.024567741399820764,0.005790247844116303,0.9910436316196485,0.9932233007618897
2020-03-05,-0.019755509869797565,-0.014165111098369968,0.0,0.0,False,-0.019755509869797565,0.9648817328460773,1.021759440396099,0.9443335629686256,-0.04383790301191559,0.0222774827632799,1.0131215890407135,0.9523849291965906
2020-03-06,-0.03425638576010296,-0.03535446739665216,0.25,0.000375,True,-0.03463138576010296,0.9314665413430082,0.9856356795733936,0.9450414191034247,-0.07695112144189886,-0.016216415382512728,0.9966923885198379,0.9345576951042087
