trade_date,stock_count,top1_weight,top5_weight,herfindahl_index,effective_num_stocks
2020-01-02,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-02-07,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-03-06,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-04-03,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-05-07,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-06-04,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-07-06,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-08-03,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-08-31,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-09-28,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-11-03,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-12-01,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2020-12-29,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-01-27,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-03-03,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-03-31,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-04-29,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-06-01,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-06-30,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-07-28,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-08-25,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-09-24,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-10-29,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-11-26,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2021-12-24,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-01-24,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-02-28,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-03-28,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-04-27,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-05-30,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-06-28,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-07-26,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-08-23,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-09-21,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-10-26,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-11-23,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2022-12-21,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-01-19,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-02-23,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-03-23,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-04-21,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-05-24,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-06-21,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-07-21,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-08-18,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-09-15,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-10-23,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-11-20,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
2023-12-18,20.0,0.05,0.25,0.05000000000000002,19.999999999999993
