risk_control,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,final_nav,stop_loss,reduce_position
stop_-0.05_pos_0.3,0.0186932738451564,0.09437190103157343,0.1980809291835957,-0.14162999509567997,0.1319866870893268,0.5092783505154639,1.0738926131955155,-0.05,0.3
stop_-0.05_pos_0.5,0.01294995566302104,0.11965618795348007,0.10822637662546732,-0.19611767014995296,0.06603155979325785,0.5092783505154639,1.0507740180969616,-0.05,0.5
stop_-0.05_pos_0.8,0.03885051892872826,0.16553670253931313,0.23469429034628556,-0.26853689397071523,0.14467479069362077,0.5092783505154639,1.158020233634565,-0.05,0.8
stop_-0.08_pos_0.3,-0.029866662084715445,0.08925775974494389,-0.33461137911213684,-0.1667267161841447,-0.17913543053129294,0.5092783505154639,0.8898390347060171,-0.08,0.3
stop_-0.08_pos_0.5,0.014077139179100584,0.1335129482869081,0.10543650904068118,-0.21134235072405416,0.06660822656165516,0.5092783505154639,1.0552819313960693,-0.08,0.5
stop_-0.08_pos_0.8,0.027777570266463325,0.16992802343491673,0.16346668256929542,-0.2791005347258222,0.09952532084451561,0.5092783505154639,1.111225575431975,-0.08,0.8
stop_-0.1_pos_0.3,0.0009695088998595836,0.11779515408568322,0.008230465059321292,-0.18196197082523202,0.005328085288715422,0.5092783505154639,1.0037369971820647,-0.1,0.3
stop_-0.1_pos_0.5,0.0131695786731989,0.1387860880619036,0.09489120168388054,-0.22699514371985985,0.058017006255657144,0.5092783505154639,1.0516512299864897,-0.1,0.5
stop_-0.1_pos_0.8,0.02537090422877819,0.17312371282033265,0.14654782880672187,-0.28701072840111197,0.08839705877935361,0.5092783505154639,1.1012430359644223,-0.1,0.8
stop_-0.15_pos_0.3,-0.003929028937343038,0.1348431682157975,-0.029137767892365003,-0.23100819046325594,-0.017008180227133494,0.5092783505154639,0.9849608036995787,-0.15,0.3
stop_-0.15_pos_0.5,0.016977806744300716,0.16432768370902906,0.10331677755747411,-0.24295072898827919,0.06988168677246401,0.5092783505154639,1.0669483054843885,-0.15,0.5
stop_-0.15_pos_0.8,0.03278818123304372,0.1820644297758002,0.18009108793749612,-0.2811063974277558,0.11663975467321148,0.5092783505154639,1.1322236668661974,-0.15,0.8
