risk_control,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,final_nav
original,0.040808899383766084,0.19315148855657255,0.2112792383260017,-0.3030973797149107,0.13463956508680605,0.5092783505154639,1.1664457682510103
stop_loss_10pct_pos50,0.0131695786731989,0.1387860880619036,0.09489120168388054,-0.22699514371985985,0.058017006255657144,0.5092783505154639,1.0516512299864897
vol_target_15pct,0.03560175945402122,0.14287061813362031,0.249188810961289,-0.23658387070024778,0.15048261467971635,0.5092783505154639,1.1441425676402601
ma60_timing_pos50,0.0723100760730726,0.14041275050009883,0.5149822634734422,-0.20151166463252268,0.3588381655470788,0.5092783505154639,1.3083062791413964
fixed_position_80pct,0.03562647867667135,0.15452119084525806,0.23056047187954123,-0.24837319333663765,0.14343930678696182,0.5092783505154639,1.1442476931548873
