event_name,stress_score,interpretation
2015_stock_market_crash,,当前静态样本未覆盖该事件区间，保留事件框架，待动态股票池数据补齐后自动重跑。
2016_circuit_breaker,,当前静态样本未覆盖该事件区间，保留事件框架，待动态股票池数据补齐后自动重跑。
2018_bear_market,,当前静态样本未覆盖该事件区间，保留事件框架，待动态股票池数据补齐后自动重跑。
2020_covid_shock,41.40478532046874,策略在该压力阶段相对基准取得正超额收益，但仍需关注阶段内回撤。
2021_2022_growth_adjustment,70.02503284039108,策略在该压力阶段相对基准取得正超额收益，但仍需关注阶段内回撤。
2023_style_rotation,28.619723738709293,策略在该压力阶段相对基准取得正超额收益，但仍需关注阶段内回撤。
