trade_date,factor,spearman_ic,rolling_rank_ic,window
2020-02-07,factor_momentum,-0.04779525131051495,,60
2020-02-10,factor_momentum,0.11649707061362935,,60
2020-02-11,factor_momentum,0.12118408880666051,,60
2020-02-12,factor_momentum,0.13771199506629664,,60
2020-02-13,factor_momentum,0.055384235845565566,,60
2020-02-14,factor_momentum,0.21930987706624888,,60
2020-02-17,factor_momentum,0.0992291088498304,,60
2020-02-18,factor_momentum,0.16102870894824967,,60
2020-02-19,factor_momentum,0.30249768732654947,,60
2020-02-20,factor_momentum,0.3027443724946038,0.14677918937071194,60
2020-02-21,factor_momentum,0.19925994449583717,0.15155016710935967,60
2020-02-24,factor_momentum,-0.019673142152328092,0.13728155800421904,60
2020-02-25,factor_momentum,-0.14091890225100215,0.11588152259997125,60
2020-02-26,factor_momentum,0.04335491828553808,0.11070105086322603,60
2020-02-27,factor_momentum,0.0507554733271662,0.10670467902748869,60
2020-02-28,factor_momentum,0.046068455134135065,0.1029149150341541,60
2020-03-02,factor_momentum,-0.04563816339398881,0.09417649865602805,60
2020-03-03,factor_momentum,-0.1477027443724946,0.08073876293222122,60
2020-03-04,factor_momentum,-0.18347209374036386,0.06683292837050622,60
2020-03-05,factor_momentum,-0.04162812210915818,0.06140987584652301,60
2020-03-06,factor_momentum,-0.0020351526364477336,0.058388684014000596,60
2020-03-09,factor_momentum,0.13956213382670365,0.062078386278214374,60
2020-03-10,factor_momentum,0.028183780450200435,0.06060470776395289,60
2020-03-11,factor_momentum,0.11156336725254394,0.06272798524264418,60
2020-03-12,factor_momentum,0.0292330938496631,0.06138818958692494,60
2020-03-13,factor_momentum,-0.01091581868640148,0.05860726619179701,60
2020-03-16,factor_momentum,0.1738513721862473,0.06287556641381367,60
2020-03-17,factor_momentum,0.2303422756706753,0.06885652031584445,60
2020-03-18,factor_momentum,0.23576934936786928,0.07461213511074186,60
2020-03-19,factor_momentum,0.00746222633364169,0.07237380481817186,60
2020-03-20,factor_momentum,0.0625963613937712,0.07205840341738473,60
2020-03-23,factor_momentum,0.09972247918593895,0.07292290578515205,60
2020-03-24,factor_momentum,0.1167473558173254,0.07425091942249064,60
2020-03-25,factor_momentum,0.1686709836571076,0.07702798013527348,60
2020-03-26,factor_momentum,0.1345050878815911,0.07867018321373971,60
2020-03-27,factor_momentum,0.185445575084798,0.0816361663212691,60
2020-03-30,factor_momentum,0.09010175763182238,0.0818649660864192,60
2020-03-31,factor_momentum,-0.09996916435399322,0.07707985739061887,60
2020-04-01,factor_momentum,-0.20925069380203515,0.06973804838567903,60
2020-04-02,factor_momentum,-0.23046561825470244,0.06223295671966948,60
2020-04-03,factor_momentum,-0.1971631205673759,0.05590622312730253,60
2020-04-07,factor_momentum,-0.2377428307123034,0.04891457898826429,60
2020-04-08,factor_momentum,-0.2810360777058279,0.04124130790235517,60
2020-04-09,factor_momentum,-0.2520505704594511,0.034575583394132296,60
2020-04-10,factor_momentum,-0.19506629663891456,0.029472430504509036,60
2020-04-13,factor_momentum,-0.16743755781683625,0.02519177858447979,60
2020-04-14,factor_momentum,-0.13006475485661423,0.02188844808573311,60
2020-04-15,factor_momentum,0.07949429540548875,0.023088569904894687,60
2020-04-16,factor_momentum,0.21615787850755472,0.027028759876377543,60
2020-04-17,factor_momentum,0.3374036386062288,0.03323625745097457,60
2020-04-20,factor_momentum,0.35331483194572927,0.039512307931263875,60
2020-04-21,factor_momentum,0.33037311131668207,0.045105784919444995,60
2020-04-22,factor_momentum,0.35529926934158046,0.05095849217269283,60
2020-04-23,factor_momentum,0.35454825778600063,0.05658052486923557,60
2020-04-24,factor_momentum,0.17237126117792168,0.058685810983938956,60
2020-04-27,factor_momentum,0.11958063521430773,0.059773218559481256,60
2020-04-28,factor_momentum,0.10749306197964847,0.060610408794922785,60
2020-04-29,factor_momentum,0.10810977489978414,0.061429363382937634,60
2020-04-30,factor_momentum,0.24811125855948235,0.06459346330118415,60
2020-05-06,factor_momentum,0.2987449506492997,0.06849598809031941,60
2020-05-07,factor_momentum,0.3023743447425224,0.0743321480245367,60
2020-05-08,factor_momentum,0.3322232500770891,0.07792758434892771,60
2020-05-11,factor_momentum,0.3132284921369103,0.08112832440443185,60
2020-05-12,factor_momentum,0.26281379340159944,0.08321335437668691,60
2020-05-13,factor_momentum,0.3237126117792168,0.0876854939755811,60
2020-05-14,factor_momentum,0.22799876657415974,0.08783030880071294,60
2020-05-15,factor_momentum,0.2426765340733888,0.09022109922110558,60
2020-05-18,factor_momentum,0.04767190872648781,0.08833181921740955,60
2020-05-19,factor_momentum,0.1738513721862473,0.08618771396507117,60
2020-05-20,factor_momentum,0.16904101140918903,0.0839593246136476,60
2020-05-21,factor_momentum,0.06271970397779833,0.08168365393834695,60
2020-05-22,factor_momentum,0.27684242984890534,0.0866255801383675,60
2020-05-25,factor_momentum,0.17187789084181312,0.09183886002324777,60
2020-05-26,factor_momentum,0.33481344434165894,0.09669650212418311,60
2020-05-27,factor_momentum,0.3991982732038237,0.10250388212212741,60
2020-05-28,factor_momentum,0.1757069290668569,0.10466452335433944,60
2020-05-29,factor_momentum,0.11989268869988409,0.10742337088923733,60
2020-06-01,factor_momentum,0.2650856389986824,0.11430317727875693,60
2020-06-02,factor_momentum,0.1725353273441676,0.12023663429683246,60
2020-06-03,factor_momentum,0.11469415994891019,0.12284200566446694,60
2020-06-04,factor_momentum,-0.0761528326745718,0.12160671099716486,60
2020-06-05,factor_momentum,-0.06600790513833991,0.1181805436810808,60
2020-06-08,factor_momentum,-0.08603145235892691,0.11627695646759535,60
2020-06-09,factor_momentum,-0.08221797385691904,0.1130472674491043,60
2020-06-10,factor_momentum,-0.13142152328091272,0.11036969049692805,60
2020-06-11,factor_momentum,-0.0717237126117792,0.10935622559817174,60
2020-06-12,factor_momentum,-0.11538698735738515,0.10453558627244454,60
2020-06-15,factor_momentum,-0.13499845821769965,0.09844657404097162,60
2020-06-16,factor_momentum,-0.2770891150169596,0.08989893296789113,60
2020-06-17,factor_momentum,-0.23478260869565218,0.08586151905073623,60
