event_name,start_date,end_date,data_available,benchmark_available,limitation_note
2015_stock_market_crash,2015-06-12,2015-08-26,False,False,当前静态样本不覆盖该区间。
2016_circuit_breaker,2016-01-04,2016-02-29,False,False,当前静态样本不覆盖该区间。
2018_bear_market,2018-01-29,2018-12-31,False,False,当前静态样本不覆盖该区间。
2020_covid_shock,2020-02-03,2020-03-23,True,True,
2021_2022_growth_adjustment,2021-02-18,2022-04-26,True,True,
2023_style_rotation,2023-01-01,2023-12-31,True,True,
