factor,spearman_ic_mean,spearman_ic_std,spearman_ic_icir,spearman_ic_win_rate,sample_periods
factor_momentum,-0.024940892299410967,0.22206448396151418,-0.11231373812902676,0.46236559139784944,930
factor_reversal_5d,-0.005361921564448547,0.20320284860682603,-0.026387039360965085,0.4677248677248677,945
factor_size,-0.0014912332462977897,0.20914440525541136,-0.007130160830631188,0.4726315789473684,950
factor_turnover,0.06776746413500781,0.21878571950529357,0.30974354399473575,0.60687432867884,931
factor_volatility,0.04339722951815083,0.2161104838849181,0.20081038521601974,0.5806451612903226,930
