factor,pearson_ic_mean,pearson_ic_std,pearson_ic_icir,pearson_ic_win_rate,sample_periods
factor_momentum,-0.013888292052223307,0.23459398778645701,-0.05920139805486128,0.4806451612903226,930
factor_reversal_5d,-0.007681264142384551,0.22547462255466258,-0.03406708948153292,0.4857142857142857,945
factor_size,0.012852507557617836,0.20051034753023225,0.06409897402267471,0.5168421052631579,950
factor_turnover,0.025636792138335952,0.26382186720636164,0.09717462926711393,0.5810955961331902,931
factor_volatility,0.0019594930321973347,0.2438829186025377,0.008034564468169135,0.532258064516129,930
