series,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,sample_days
strategy,0.040808899383766084,0.19315148855657255,0.10773356984857677,-0.3030973797149106,0.1346395650868061,0.5092783505154639,970
sample_equal_benchmark,0.014735995298865046,0.20142226400635835,-0.026134175023317108,-0.32201348973042665,0.04576204341998614,0.49587628865979383,970
hs300,-0.04835137329211969,0.191202807650028,-0.357481012607451,-0.4322208082037031,-0.11186729647067796,0.49587628865979383,970
excess_vs_hs300,0.056956929744635953,0.2636331609730308,0.21604615115342998,,,0.5082474226804123,970
