trade_date,rolling_beta,window
2020-04-02,-0.014871600218262698,60
2020-04-03,-0.01927215005285706,60
2020-04-07,-0.020220810486266606,60
2020-04-08,-0.019935444356462325,60
2020-04-09,-0.016798714751455505,60
2020-04-10,-0.009091867912379452,60
2020-04-13,-0.01368117930779902,60
2020-04-14,-0.0260681305779982,60
2020-04-15,-0.023924906044220356,60
2020-04-16,-0.02307340427812454,60
2020-04-17,-0.02160081284438266,60
2020-04-20,-0.023323952667824867,60
2020-04-21,-0.02844174322040689,60
2020-04-22,-0.018527147490975893,60
2020-04-23,-0.013030069533234072,60
2020-04-24,-0.003775689991346999,60
2020-04-27,-0.13604633763899657,60
2020-04-28,-0.07921075324431794,60
2020-04-29,-0.09309686006237328,60
2020-04-30,-0.10294456313504566,60
2020-05-06,-0.10017806746705196,60
2020-05-07,-0.103429399756082,60
2020-05-08,-0.10358489143964092,60
2020-05-11,-0.10596484431627227,60
2020-05-12,-0.101411437091184,60
2020-05-13,-0.09491244864407597,60
2020-05-14,-0.10374724111458393,60
2020-05-15,-0.09455035611890704,60
2020-05-18,-0.09355354401911006,60
2020-05-19,-0.08887249304098563,60
2020-05-20,-0.08572828379333441,60
2020-05-21,-0.07771802729388419,60
2020-05-22,-0.0731748049111307,60
2020-05-25,-0.07097373201123151,60
2020-05-26,-0.07088892334020373,60
2020-05-27,-0.06543255217882031,60
2020-05-28,0.030635155880216484,60
2020-05-29,0.01559057834554809,60
2020-06-01,0.021037589379487097,60
2020-06-02,0.0077734143342375675,60
2020-06-03,0.0435776869925832,60
2020-06-04,-0.0003027098225145048,60
2020-06-05,0.05685899367112552,60
2020-06-08,0.08226273081823103,60
2020-06-09,0.05651473217478473,60
2020-06-10,0.026337829816464493,60
2020-06-11,-0.026861225720457987,60
2020-06-12,-0.09257058509740614,60
2020-06-15,-0.13312820210285545,60
2020-06-16,-0.22231625972526192,60
2020-06-17,-0.1886523988980565,60
2020-06-18,-0.12064663624451029,60
2020-06-19,0.0040894697831083395,60
2020-06-22,-0.11209106506575728,60
2020-06-23,-0.11857012700144612,60
2020-06-24,-0.11593517276366783,60
2020-06-29,-0.13009943624197623,60
2020-06-30,-0.05138422142669491,60
2020-07-01,0.061488971871195224,60
2020-07-02,0.14635271057145907,60
2020-07-03,0.3672128381645569,60
2020-07-06,0.27573666770388183,60
2020-07-07,0.3072442672748179,60
2020-07-08,0.32318017174093355,60
2020-07-09,0.29416511680041485,60
2020-07-10,0.20168341202982118,60
2020-07-13,0.17881859111820037,60
2020-07-14,0.23586240956225704,60
2020-07-15,0.3037384587028987,60
2020-07-16,0.2053373047728818,60
2020-07-17,0.21920644250145097,60
2020-07-20,0.18837605897378104,60
2020-07-21,0.19650090227353764,60
2020-07-22,0.1974087088575214,60
2020-07-23,0.20498025916399276,60
2020-07-24,0.18624525661241834,60
2020-07-27,0.18835885080520912,60
2020-07-28,0.1938245379539627,60
2020-07-29,0.17242403009867013,60
2020-07-30,0.17586876917506994,60
2020-07-31,0.18362301113103718,60
2020-08-03,0.18943774741987898,60
2020-08-04,0.1903367750170807,60
2020-08-05,0.18908572418898623,60
2020-08-06,0.19638812352403048,60
2020-08-07,0.19054734294612,60
2020-08-10,0.18497281222973094,60
2020-08-11,0.19301142526045362,60
2020-08-12,0.18947263230085087,60
2020-08-13,0.18535763305662503,60
2020-08-14,0.19869694116335915,60
2020-08-17,0.17315276655225206,60
2020-08-18,0.1705897920685424,60
2020-08-19,0.19446740199494222,60
2020-08-20,0.18400203630592266,60
2020-08-21,0.18879577733114855,60
2020-08-24,0.18825081211111067,60
2020-08-25,0.1916993396552517,60
2020-08-26,0.19443643941536215,60
2020-08-27,0.19755013441547362,60
2020-08-28,0.17880331252835774,60
2020-08-31,0.17761740916538857,60
2020-09-01,0.17632670739284811,60
2020-09-02,0.17828762922143632,60
2020-09-03,0.18818301930273854,60
2020-09-04,0.19759498653528998,60
2020-09-07,0.17602716316825934,60
2020-09-08,0.172410951105145,60
2020-09-09,0.2002870972850518,60
2020-09-10,0.20662597861134885,60
2020-09-11,0.20771981115713384,60
2020-09-14,0.20668686538936915,60
2020-09-15,0.20840999000327431,60
2020-09-16,0.20778558204699937,60
2020-09-17,0.1994341080443812,60
2020-09-18,0.18270457147112742,60
2020-09-21,0.19884147322495893,60
2020-09-22,0.1890656834683798,60
2020-09-23,0.15736542087106942,60
2020-09-24,0.13045773284127707,60
2020-09-25,0.05267443130672794,60
2020-09-28,0.045507442027369296,60
2020-09-29,0.039650498814725606,60
2020-09-30,0.018382656197166752,60
2020-10-09,0.07895676983758958,60
2020-10-12,0.10654519634599639,60
2020-10-13,0.1230169396635255,60
2020-10-14,0.11468993166914926,60
2020-10-15,0.07556862715478595,60
2020-10-16,0.1331243050954337,60
2020-10-19,0.10832217376892371,60
2020-10-20,0.13385800104439285,60
2020-10-21,0.13336552068786509,60
2020-10-22,0.13847592461471298,60
2020-10-23,0.14354032776382086,60
2020-10-26,0.16895302021152606,60
2020-10-27,0.16441520586647804,60
2020-10-28,0.1488815665582264,60
2020-10-29,0.15902840926415662,60
2020-10-30,0.131903773494931,60
2020-11-02,0.11622475412766164,60
2020-11-03,0.11135211957317455,60
2020-11-04,0.1264115604833318,60
2020-11-05,0.12954092976958664,60
2020-11-06,0.12103334079232086,60
2020-11-09,0.10779943854762296,60
2020-11-10,0.11511841818420986,60
2020-11-11,0.09844240611547847,60
2020-11-12,0.10493840440293255,60
2020-11-13,0.08295879663431627,60
2020-11-16,0.035575129088712694,60
2020-11-17,0.041243543214576475,60
2020-11-18,0.039442983638467835,60
2020-11-19,0.002508992521004537,60
2020-11-20,0.03208472099761998,60
2020-11-23,0.008339701868601468,60
2020-11-24,0.027934892791931638,60
2020-11-25,0.02554503374844555,60
2020-11-26,0.03403466279235096,60
2020-11-27,0.005263320933679439,60
2020-11-30,0.014888320306789781,60
2020-12-01,0.021444367258171653,60
2020-12-02,0.024517041710989573,60
2020-12-03,0.024417322172425072,60
2020-12-04,0.012890037322372693,60
2020-12-07,-0.0006290796605132826,60
2020-12-08,0.04871007410762723,60
2020-12-09,0.052475331564678235,60
2020-12-10,0.01143544224643175,60
2020-12-11,-0.00920805718102361,60
2020-12-14,-0.027408861413144,60
2020-12-15,-0.03085904636709317,60
2020-12-16,-0.029209986865127283,60
2020-12-17,-0.038003481513544136,60
2020-12-18,-0.017207522700698218,60
2020-12-21,-0.01242197559763496,60
2020-12-22,-0.02936331038818382,60
2020-12-23,-0.05150253306230166,60
2020-12-24,-0.046339855365141985,60
2020-12-25,-0.04252644647977741,60
2020-12-28,-0.04288636133016733,60
2020-12-29,-0.04605236521107557,60
2020-12-30,-0.002705077281557576,60
2020-12-31,-0.006010929877936708,60
2021-01-04,-0.07184743766353222,60
2021-01-05,-0.05073421111228385,60
2021-01-06,-0.03563988178770899,60
2021-01-07,-0.01256398052594818,60
2021-01-08,0.0023349092490260732,60
2021-01-11,-0.04742889849887911,60
2021-01-12,-0.0791692104186194,60
2021-01-13,-0.06926660826471558,60
2021-01-14,-0.05937401681588014,60
2021-01-15,-0.07862331557306879,60
2021-01-18,-0.10408510773005425,60
2021-01-19,-0.11528248781524254,60
2021-01-20,-0.11216369864763615,60
2021-01-21,-0.1437935842975477,60
2021-01-22,-0.1269383546401022,60
2021-01-25,-0.12655311673446962,60
2021-01-26,-0.11938102933482797,60
2021-01-27,-0.12624680832590568,60
2021-01-28,-0.0902193593272385,60
2021-01-29,-0.10969464237758994,60
2021-02-01,-0.08725193217234894,60
2021-02-02,-0.08129763040457894,60
2021-02-03,-0.07644997763996152,60
2021-02-04,-0.07221853045614109,60
2021-02-05,-0.07289319476254988,60
2021-02-08,-0.0003783961005049945,60
2021-02-09,0.020521043505956293,60
2021-02-10,0.06389318665169476,60
2021-02-18,0.05070850890740334,60
2021-02-19,0.05014235264710061,60
2021-02-22,0.06849239017747438,60
2021-02-23,0.08182131325889949,60
2021-02-24,0.02860659319717625,60
2021-02-25,0.021581117707795375,60
2021-02-26,-0.018488751110938312,60
2021-03-01,-0.017957915805744996,60
2021-03-02,-0.039964556727446865,60
2021-03-03,-0.06409472993273929,60
2021-03-04,-0.020730982515747554,60
2021-03-05,-0.012430787250993369,60
2021-03-08,0.03354147673680228,60
2021-03-09,0.04617197192007853,60
2021-03-10,0.050605158046965464,60
2021-03-11,0.05392816864644543,60
2021-03-12,0.05080985183374475,60
2021-03-15,0.04339062582291155,60
2021-03-16,0.05120837483184748,60
2021-03-17,0.05101337176170221,60
2021-03-18,0.04182983935360366,60
2021-03-19,0.038055346268381036,60
2021-03-22,0.035299252261727525,60
2021-03-23,0.051720939272475196,60
2021-03-24,0.04941509566034469,60
2021-03-25,0.05426088887795713,60
2021-03-26,0.06223656500895499,60
2021-03-29,0.05994216808263079,60
2021-03-30,0.050931904299928395,60
2021-03-31,0.04747747946722228,60
2021-04-01,0.03152805461595959,60
2021-04-02,0.03335705504524973,60
2021-04-06,0.025017823824028246,60
2021-04-07,0.024069056890810556,60
2021-04-08,0.016932656711338697,60
2021-04-09,0.016407340580862895,60
2021-04-12,0.0252869618909464,60
2021-04-13,0.038093020359316096,60
2021-04-14,0.050568697094919256,60
2021-04-15,0.04724060532603976,60
2021-04-16,0.05149915822592706,60
2021-04-19,0.04131967811488632,60
2021-04-20,0.042057974316352664,60
2021-04-21,0.04581574960593062,60
2021-04-22,0.042688261018534734,60
