risk_control,annual_return,annual_volatility,sharpe,max_drawdown,calmar,win_rate,final_nav,position
fixed_position_1.0,0.040808899383766084,0.19315148855657255,0.2112792383260017,-0.3030973797149107,0.13463956508680605,0.5092783505154639,1.1664457682510103,1.0
fixed_position_0.8,0.03562647867667135,0.15452119084525806,0.23056047187954123,-0.24837319333663765,0.14343930678696182,0.5092783505154639,1.1442476931548873,0.8
fixed_position_0.6,0.028916158282630944,0.11589089313394353,0.24951191159783742,-0.1907257669910446,0.15161117838885757,0.5092783505154639,1.1159715589356323,0.6
fixed_position_0.4,0.020713295566414214,0.07726059542262903,0.26809650447435524,-0.1301247845989859,0.1591802486378574,0.5092783505154639,1.0821126027163728,0.4
