ts_code,trade_date,turnover_rate,pe,pb,total_mv,circ_mv
000001.SZ,20200102,0.788545487120987,,,1.1714,1.1714
000001.SZ,20200103,0.5751875891680178,,,1.1714,1.1714
000001.SZ,20200106,0.44424120734491396,,,1.1714,1.1714
000001.SZ,20200107,0.3754595722282492,,,1.1714,1.1714
000001.SZ,20200108,0.4368931903753398,,,1.1714,1.1714
000001.SZ,20200109,0.531613829678056,,,1.1714,1.1714
000001.SZ,20200110,0.3017396231188081,,,1.1714,1.1714
000001.SZ,20200113,0.44942001188072445,,,1.1714,1.1714
000001.SZ,20200114,0.6722200790204031,,,1.1714,1.1714
000001.SZ,20200115,0.44287852894557245,,,1.1714,1.1714
000001.SZ,20200116,0.5297937611353707,,,1.1714,1.1714
000001.SZ,20200117,0.31198825419638404,,,1.1714,1.1714
000001.SZ,20200120,0.3844606093372102,,,1.1714,1.1714
000001.SZ,20200121,0.4620295408196452,,,1.1714,1.1714
000001.SZ,20200122,0.37074826308669623,,,1.1714,1.1714
000001.SZ,20200123,0.5671473238625239,,,1.118,1.118
000001.SZ,20200203,1.1641882009185742,,,1.118,1.118
000001.SZ,20200204,0.8792094272944223,,,1.118,1.118
000001.SZ,20200205,0.7685247949887816,,,1.118,1.118
000001.SZ,20200206,0.6110640177446598,,,1.118,1.118
000001.SZ,20200207,0.47658700760067607,,,1.118,1.118
000001.SZ,20200210,0.6902567821450768,,,1.118,1.118
000001.SZ,20200211,0.7253042245821305,,,1.118,1.118
000001.SZ,20200212,0.5516421999458359,,,1.118,1.118
000001.SZ,20200213,0.5221159399007655,,,1.118,1.118
000001.SZ,20200214,0.779374423110498,,,1.118,1.118
000001.SZ,20200217,0.7954837080815563,,,1.118,1.118
000001.SZ,20200218,0.5017132631002902,,,1.118,1.118
000001.SZ,20200219,0.4504370144327739,,,1.118,1.118
000001.SZ,20200220,0.6366381971224834,,,1.118,1.118
000001.SZ,20200221,0.5127711542080726,,,1.118,1.118
000001.SZ,20200224,0.6141449495171037,,,1.118,1.118
000001.SZ,20200225,0.5898122267525466,,,1.118,1.118
000001.SZ,20200226,0.6063146168056801,,,1.118,1.118
000001.SZ,20200227,0.5025679323457193,,,1.118,1.118
000001.SZ,20200228,0.6702365383335391,,,1.118,1.118
000001.SZ,20200302,0.5753864219607276,,,1.118,1.118
000001.SZ,20200303,0.5944548191572645,,,1.118,1.118
000001.SZ,20200304,0.4445049075004495,,,1.118,1.118
000001.SZ,20200305,1.3844360403339944,,,1.118,1.118
000001.SZ,20200306,0.6330756916561919,,,1.118,1.118
000001.SZ,20200309,0.8584019220840653,,,1.118,1.118
000001.SZ,20200310,0.6018137967941989,,,1.118,1.118
000001.SZ,20200311,0.41965990880596965,,,1.118,1.118
000001.SZ,20200312,0.5083529231085717,,,1.118,1.118
000001.SZ,20200313,0.6027933156159342,,,1.118,1.118
000001.SZ,20200316,0.7246316095995922,,,1.118,1.118
000001.SZ,20200317,0.6069587093181484,,,1.118,1.118
000001.SZ,20200318,0.7135947741038613,,,1.118,1.118
000001.SZ,20200319,0.9746888776694437,,,1.118,1.118
000001.SZ,20200320,0.8133428195375723,,,1.118,1.118
000001.SZ,20200323,0.5519567613081627,,,1.118,1.118
000001.SZ,20200324,0.6081703088055639,,,1.118,1.118
000001.SZ,20200325,0.5858869577224767,,,1.118,1.118
000001.SZ,20200326,0.5540586071202057,,,1.118,1.118
000001.SZ,20200327,0.3365078854545105,,,1.118,1.118
000001.SZ,20200330,0.3410013519764182,,,1.118,1.118
000001.SZ,20200331,0.26454542035315687,,,1.118,1.118
000001.SZ,20200401,0.2683925991372575,,,1.118,1.118
000001.SZ,20200402,0.2671192653785795,,,1.118,1.118
000001.SZ,20200403,0.4253110681198272,,,1.118,1.118
000001.SZ,20200407,0.4484823260150917,,,1.118,1.118
000001.SZ,20200408,0.2724533022338817,,,1.118,1.118
000001.SZ,20200409,0.21053229768359596,,,1.118,1.118
000001.SZ,20200410,0.3435450100768779,,,1.118,1.118
000001.SZ,20200413,0.22993923882162967,,,1.118,1.118
000001.SZ,20200414,0.35354818816540745,,,1.118,1.118
000001.SZ,20200415,0.33824835904277845,,,1.118,1.118
000001.SZ,20200416,0.40666033057987006,,,1.118,1.118
000001.SZ,20200417,0.6859639983827723,,,1.118,1.118
000001.SZ,20200420,0.4217593841868957,,,1.118,1.118
000001.SZ,20200421,1.0937212150433322,,,1.118,1.118
000001.SZ,20200422,0.5322147288130851,,,1.118,1.118
000001.SZ,20200423,0.33340094593022507,,,1.118,1.118
000001.SZ,20200424,0.29166691925499694,,,1.118,1.118
000001.SZ,20200427,0.4827588578749217,,,1.118,1.118
000001.SZ,20200428,0.3975955907111973,,,1.118,1.118
000001.SZ,20200429,0.5713369681056865,,,1.118,1.118
000001.SZ,20200430,0.42231829061937737,,,1.118,1.118
000001.SZ,20200506,0.5199478920701158,,,1.118,1.118
000001.SZ,20200507,0.3415220429368061,,,1.118,1.118
000001.SZ,20200508,0.4817033976545557,,,1.118,1.118
000001.SZ,20200511,0.3158147483924339,,,1.118,1.118
000001.SZ,20200512,0.2878069968270872,,,1.118,1.118
000001.SZ,20200513,0.3299840003938461,,,1.118,1.118
000001.SZ,20200514,0.48680002552727575,,,1.118,1.118
000001.SZ,20200515,0.389984600174756,,,1.118,1.118
000001.SZ,20200518,0.3283606570214209,,,1.118,1.118
000001.SZ,20200519,0.3093766317133132,,,1.118,1.118
000001.SZ,20200520,0.3560032333669832,,,1.118,1.118
000001.SZ,20200521,0.28461251109792046,,,1.118,1.118
