factor,count,mean,std,min,p1,p25,median,p75,p99,max,missing_rate
factor_momentum,43616,-7.81961924901064e-18,0.9890608832121747,-3.635480610498303,-2.060732867032768,-0.6437714382242737,-0.11950629785033075,0.5311592588980402,2.9775870419583343,5.1865231187620235,0.02065744566193639
factor_volatility,43616,-5.213079499340427e-18,0.9890608832121747,-4.3888194776797285,-3.0283310498971177,-0.5718609389104123,0.15345952755071934,0.708196659073639,1.7303902371100002,2.844908021982338,0.02065744566193639
factor_roe,0,,,,,,,,,,1.0
factor_size,44536,1.3274015541413764e-16,0.9890610862159913,-2.391155108750446,-2.355816669858774,-0.6301529951888065,0.1293349996610064,0.7486403704783322,1.7374115682174611,1.7550413486432053,0.0
factor_turnover,43662,-5.2075872713854625e-18,0.9890608935655517,-6.267572985258308,-3.4426827665288537,-0.2641673690649527,0.287152826082198,0.6057267700914676,1.2466365734401685,1.6837001740554116,0.019624573378839605
factor_reversal_5d,44306,-8.018583665418907e-19,0.9890610362554294,-5.121828154123879,-3.012114679063042,-0.5138885709634968,0.09134689330977265,0.6037502829175287,2.24529129135701,4.418106165129563,0.005164361415484153
