version,universe_type,start_date,end_date,stock_count,rows,factor,rank_ic_mean,rank_ic_ir,long_short_mean
v1.0,static_46,2020-01-02,2023-12-29,46,44536,factor_momentum,-0.0249408922994109,-0.1123137381290267,-0.0019819575979414
v1.0,static_46,2020-01-02,2023-12-29,46,44536,factor_reversal_5d,-0.0053619215644485,-0.026387039360965,-0.0019980484668142
v1.0,static_46,2020-01-02,2023-12-29,46,44536,factor_roe,,,
v1.0,static_46,2020-01-02,2023-12-29,46,44536,factor_size,-0.0014912332462977,-0.0071301608306311,0.0029546357125076
v1.0,static_46,2020-01-02,2023-12-29,46,44536,factor_turnover,0.0677674641350078,0.3097435439947358,0.0039750576405563
v1.0,static_46,2020-01-02,2023-12-29,46,44536,factor_volatility,0.0433972295181508,0.2008103852160197,-0.0002944885254836
