trade_date,group,ret_20d_fwd,factor
2020-01-02,1,-0.11452106762055614,factor_size
2020-01-02,2,-0.08810895417424648,factor_size
2020-01-02,3,0.013189952475431827,factor_size
2020-01-02,4,-0.06415521790612184,factor_size
2020-01-02,5,-0.07118791132574863,factor_size
2020-01-02,6,-0.001819953762953863,factor_size
2020-01-02,7,-0.016603657607857397,factor_size
2020-01-02,8,-0.11557299140769477,factor_size
2020-01-02,9,-0.15173285505949288,factor_size
2020-01-02,10,-0.16739359798161504,factor_size
2020-01-03,1,-0.10205563398524051,factor_size
2020-01-03,2,-0.07662340565243048,factor_size
2020-01-03,3,-0.019082441563083655,factor_size
2020-01-03,4,-0.05579241211984813,factor_size
2020-01-03,5,-0.050846527795887025,factor_size
2020-01-03,6,0.02806418221102234,factor_size
2020-01-03,7,0.0005456670892175775,factor_size
2020-01-03,8,-0.10172263508359533,factor_size
2020-01-03,9,-0.12440303793152896,factor_size
2020-01-03,10,-0.14853153107785153,factor_size
2020-01-06,1,-0.06373495042078026,factor_size
2020-01-06,2,-0.0472226695605316,factor_size
2020-01-06,3,-0.002244836893500671,factor_size
2020-01-06,4,-0.055507890831174155,factor_size
2020-01-06,5,-0.0433835221703349,factor_size
2020-01-06,6,0.04907047007772232,factor_size
2020-01-06,7,-0.03194762325032738,factor_size
2020-01-06,8,-0.09891171508653136,factor_size
2020-01-06,9,-0.1130513718177314,factor_size
2020-01-06,10,-0.1361300218579047,factor_size
2020-01-07,1,-0.07345092387605848,factor_size
2020-01-07,2,-0.04595630626198352,factor_size
2020-01-07,3,-0.004007812216165447,factor_size
2020-01-07,4,-0.06900297327873184,factor_size
2020-01-07,5,-0.06772541191803094,factor_size
2020-01-07,6,0.06900668919154226,factor_size
2020-01-07,7,-0.01810696008372198,factor_size
2020-01-07,8,-0.09955171434913923,factor_size
2020-01-07,9,-0.11087153192352235,factor_size
2020-01-07,10,-0.14048028958745398,factor_size
2020-01-08,1,-0.07491507486965644,factor_size
2020-01-08,2,-0.04384896764625712,factor_size
2020-01-08,3,-0.009494418130341402,factor_size
2020-01-08,4,-0.05796510875799734,factor_size
2020-01-08,5,-0.04442130841296445,factor_size
2020-01-08,6,0.09150837365436479,factor_size
2020-01-08,7,-0.03185024373756075,factor_size
2020-01-08,8,-0.08361164208756569,factor_size
2020-01-08,9,-0.1179093898761793,factor_size
2020-01-08,10,-0.12309355456572797,factor_size
2020-01-09,1,-0.08064281050842326,factor_size
2020-01-09,2,-0.06584015967583098,factor_size
2020-01-09,3,-0.028773415304685877,factor_size
2020-01-09,4,-0.06160344832027966,factor_size
2020-01-09,5,-0.0461522128555006,factor_size
2020-01-09,6,0.0883044599026149,factor_size
2020-01-09,7,-0.0453877954527762,factor_size
2020-01-09,8,-0.06821906824521046,factor_size
2020-01-09,9,-0.11430798722575494,factor_size
2020-01-09,10,-0.11810503800521224,factor_size
2020-01-10,1,-0.0741522196752766,factor_size
2020-01-10,2,-0.027051801995761023,factor_size
2020-01-10,3,-0.007916225213334772,factor_size
2020-01-10,4,-0.03944245095594564,factor_size
2020-01-10,5,-0.023827734964426174,factor_size
2020-01-10,6,0.09033449999204986,factor_size
2020-01-10,7,-0.02461813944144982,factor_size
2020-01-10,8,-0.0316978882619661,factor_size
2020-01-10,9,-0.10353580579103858,factor_size
2020-01-10,10,-0.0870583191069496,factor_size
2020-01-13,1,-0.10058259340215903,factor_size
2020-01-13,2,-0.0242169839982739,factor_size
2020-01-13,3,-0.0019068086713033977,factor_size
2020-01-13,4,-0.04733851326654226,factor_size
2020-01-13,5,-0.03956922501641038,factor_size
2020-01-13,6,0.07316637199740503,factor_size
2020-01-13,7,-0.03129438132992863,factor_size
2020-01-13,8,-0.0543557295646762,factor_size
2020-01-13,9,-0.1045785317574994,factor_size
2020-01-13,10,-0.09309871393348046,factor_size
2020-01-14,1,-0.0917775984227242,factor_size
2020-01-14,2,-0.017900986785181216,factor_size
2020-01-14,3,0.011007929791888095,factor_size
2020-01-14,4,-0.04011087044905766,factor_size
2020-01-14,5,-0.03184274855906213,factor_size
2020-01-14,6,0.06301283635467192,factor_size
2020-01-14,7,-0.03676092448397977,factor_size
2020-01-14,8,-0.04666633104308942,factor_size
2020-01-14,9,-0.0955811998818212,factor_size
2020-01-14,10,-0.10946174468102288,factor_size
2020-01-15,1,-0.06192233215446587,factor_size
2020-01-15,2,0.023786857860511178,factor_size
2020-01-15,3,0.06834376096311431,factor_size
2020-01-15,4,-0.012288097360509884,factor_size
2020-01-15,5,-0.018903740572050826,factor_size
2020-01-15,6,0.08359460218220427,factor_size
2020-01-15,7,-0.026859520278262345,factor_size
2020-01-15,8,-0.03559028355200901,factor_size
2020-01-15,9,-0.07031411403902187,factor_size
2020-01-15,10,-0.05855630411650896,factor_size
2020-01-16,1,-0.06468340014893045,factor_size
2020-01-16,2,0.035032023265460524,factor_size
2020-01-16,3,0.058161090254210075,factor_size
2020-01-16,4,-0.0120013105626928,factor_size
2020-01-16,5,0.0005426763702375047,factor_size
2020-01-16,6,0.10799193411528188,factor_size
2020-01-16,7,-0.020337928731415458,factor_size
2020-01-16,8,-0.028773927405021438,factor_size
2020-01-16,9,-0.06805045445406228,factor_size
2020-01-16,10,-0.05846789006073418,factor_size
2020-01-17,1,-0.07749477785737088,factor_size
2020-01-17,2,0.05334166300795791,factor_size
2020-01-17,3,0.0721284069652883,factor_size
2020-01-17,4,-0.005014376817271319,factor_size
2020-01-17,5,-0.006532830951107151,factor_size
2020-01-17,6,0.11549530032276903,factor_size
2020-01-17,7,-0.0099015161124274,factor_size
2020-01-17,8,-0.0330935735010061,factor_size
2020-01-17,9,-0.06260689920716266,factor_size
2020-01-17,10,-0.06474365877843752,factor_size
2020-01-20,1,-0.08140028787974946,factor_size
2020-01-20,2,0.06343367407385633,factor_size
2020-01-20,3,0.049384844452537824,factor_size
2020-01-20,4,-0.013235328312344719,factor_size
2020-01-20,5,-0.023249097083806902,factor_size
2020-01-20,6,0.11643966767410159,factor_size
2020-01-20,7,-0.003265338368282529,factor_size
2020-01-20,8,-0.02606788292645864,factor_size
2020-01-20,9,-0.06959868243499763,factor_size
2020-01-20,10,-0.057392344021160877,factor_size
2020-01-21,1,-0.05100137903116431,factor_size
2020-01-21,2,0.051775362152426715,factor_size
2020-01-21,3,0.025593175203854773,factor_size
2020-01-21,4,0.010489638593218423,factor_size
2020-01-21,5,-0.013766918476860974,factor_size
2020-01-21,6,0.11928864485495942,factor_size
2020-01-21,7,-0.01321222111518763,factor_size
2020-01-21,8,-0.012807036818877598,factor_size
2020-01-21,9,-0.046953179255384794,factor_size
2020-01-21,10,-0.0220774563323685,factor_size
2020-01-22,1,-0.05011355728942204,factor_size
2020-01-22,2,0.04358577752272612,factor_size
2020-01-22,3,0.017814075327183855,factor_size
2020-01-22,4,0.017736061514473444,factor_size
2020-01-22,5,-0.02291256317135035,factor_size
2020-01-22,6,0.13757543490018145,factor_size
2020-01-22,7,-0.010522725433757499,factor_size
2020-01-22,8,-0.015445682114752158,factor_size
2020-01-22,9,-0.0626364229338673,factor_size
2020-01-22,10,-0.024695193607524302,factor_size
2020-01-23,1,-0.04027325285102716,factor_size
2020-01-23,2,0.10174502082356647,factor_size
2020-01-23,3,-0.08045850867552995,factor_size
2020-01-23,4,0.02943383837437159,factor_size
2020-01-23,5,0.011821468619547047,factor_size
2020-01-23,6,0.07858579580250595,factor_size
2020-01-23,7,0.011645491378372575,factor_size
2020-01-23,8,-0.054908918444171416,factor_size
2020-01-23,9,-0.015154485718874074,factor_size
2020-01-23,10,-0.0440095385733555,factor_size
2020-02-03,1,0.0820689301484255,factor_size
2020-02-03,2,0.29089014171333655,factor_size
2020-02-03,3,0.05642724597896315,factor_size
2020-02-03,4,0.18276054733612318,factor_size
2020-02-03,5,0.13012664184903683,factor_size
2020-02-03,6,0.21100484447204457,factor_size
2020-02-03,7,0.21164607517981163,factor_size
2020-02-03,8,0.06903946796079358,factor_size
2020-02-03,9,0.1210838161201874,factor_size
2020-02-03,10,0.10226130142764214,factor_size
2020-02-04,1,0.04545842617877506,factor_size
2020-02-04,2,0.22000795706002493,factor_size
2020-02-04,3,0.06098890989760772,factor_size
2020-02-04,4,0.17017631760005844,factor_size
2020-02-04,5,0.10930732801864228,factor_size
2020-02-04,6,0.2033478181550575,factor_size
2020-02-04,7,0.20376602740120858,factor_size
2020-02-04,8,0.06387248748092648,factor_size
2020-02-04,9,0.10796393238955654,factor_size
2020-02-04,10,0.1482758681099698,factor_size
2020-02-05,1,0.043063167469017796,factor_size
2020-02-05,2,0.19408928796602676,factor_size
2020-02-05,3,0.054575373752359116,factor_size
2020-02-05,4,0.15921029133391887,factor_size
2020-02-05,5,0.09377090919185191,factor_size
2020-02-05,6,0.20988443265701667,factor_size
2020-02-05,7,0.2495710750029481,factor_size
2020-02-05,8,0.05249282303500482,factor_size
2020-02-05,9,0.11819866589944772,factor_size
2020-02-05,10,0.1283729112647221,factor_size
2020-02-06,1,0.0730100897654455,factor_size
2020-02-06,2,0.16231296633842626,factor_size
2020-02-06,3,0.06750012282812848,factor_size
2020-02-06,4,0.14862349228704272,factor_size
2020-02-06,5,0.08392137922966532,factor_size
2020-02-06,6,0.17703356023405162,factor_size
2020-02-06,7,0.24639618397975743,factor_size
2020-02-06,8,0.06818861903460591,factor_size
2020-02-06,9,0.12933232325604563,factor_size
2020-02-06,10,0.13045024717341508,factor_size
2020-02-07,1,0.056017242390806896,factor_size
2020-02-07,2,0.15259169459829997,factor_size
2020-02-07,3,0.052402969082759356,factor_size
2020-02-07,4,0.1439006768859078,factor_size
2020-02-07,5,0.0830417353534414,factor_size
2020-02-07,6,0.12998357347245038,factor_size
2020-02-07,7,0.21403806684213075,factor_size
2020-02-07,8,0.06285143456188011,factor_size
2020-02-07,9,0.10749251005775401,factor_size
2020-02-07,10,0.11416653969963872,factor_size
2020-02-10,1,0.0178551648044243,factor_size
2020-02-10,2,0.09458077907990917,factor_size
2020-02-10,3,0.0110820582284769,factor_size
2020-02-10,4,0.10363644692081127,factor_size
2020-02-10,5,0.03279379655479191,factor_size
2020-02-10,6,0.06066297744351036,factor_size
2020-02-10,7,0.11673577990536473,factor_size
2020-02-10,8,0.029670522106772058,factor_size
2020-02-10,9,0.0552606180918114,factor_size
2020-02-10,10,0.04531223489398268,factor_size
2020-02-11,1,0.013440147432999983,factor_size
2020-02-11,2,0.12291051941185989,factor_size
2020-02-11,3,0.0019055312755436003,factor_size
2020-02-11,4,0.11127608943626395,factor_size
2020-02-11,5,0.021391308123888897,factor_size
2020-02-11,6,0.11201844346202709,factor_size
2020-02-11,7,0.1450712908119511,factor_size
2020-02-11,8,0.047840576056769446,factor_size
2020-02-11,9,0.06605401291277073,factor_size
2020-02-11,10,0.041073644733447295,factor_size
2020-02-12,1,0.0017493109191727002,factor_size
2020-02-12,2,0.0886760682359411,factor_size
2020-02-12,3,-0.006064719498372648,factor_size
2020-02-12,4,0.10257465053092932,factor_size
2020-02-12,5,0.0011516354966958492,factor_size
2020-02-12,6,0.06992621239740685,factor_size
2020-02-12,7,0.12379738865384403,factor_size
2020-02-12,8,0.031723472767526524,factor_size
2020-02-12,9,0.0444369436194449,factor_size
2020-02-12,10,0.03300981117316118,factor_size
2020-02-13,1,-0.013817023872559581,factor_size
2020-02-13,2,0.047513662625030074,factor_size
2020-02-13,3,-0.02243653074177575,factor_size
2020-02-13,4,0.0818995312109904,factor_size
2020-02-13,5,-0.043979860448702404,factor_size
2020-02-13,6,0.06100435641133386,factor_size
2020-02-13,7,0.11167118940069443,factor_size
2020-02-13,8,0.02815682347007864,factor_size
2020-02-13,9,0.024661443660883176,factor_size
2020-02-13,10,0.0150172768342396,factor_size
2020-02-14,1,-0.04236940426825402,factor_size
2020-02-14,2,0.04558360469159972,factor_size
2020-02-14,3,-0.050193695737240675,factor_size
2020-02-14,4,0.05598653992565794,factor_size
2020-02-14,5,-0.07510221322227922,factor_size
2020-02-14,6,0.0422015094441376,factor_size
2020-02-14,7,0.1151801715388911,factor_size
2020-02-14,8,-0.008738932581543641,factor_size
2020-02-14,9,-0.022220986543588575,factor_size
2020-02-14,10,-0.0213544853762557,factor_size
2020-02-17,1,-0.0909315444984083,factor_size
2020-02-17,2,-0.08033672071377232,factor_size
2020-02-17,3,-0.0948227992716669,factor_size
2020-02-17,4,-0.006392865608722364,factor_size
2020-02-17,5,-0.13180156761626882,factor_size
2020-02-17,6,-0.046398450270208356,factor_size
2020-02-17,7,-0.012476452313257575,factor_size
2020-02-17,8,-0.06937417413467398,factor_size
2020-02-17,9,-0.0682247854668956,factor_size
2020-02-17,10,-0.07670540701286502,factor_size
2020-02-18,1,-0.09872037619025813,factor_size
2020-02-18,2,-0.10286235228848302,factor_size
2020-02-18,3,-0.10858651412296852,factor_size
2020-02-18,4,-0.008584415339170943,factor_size
2020-02-18,5,-0.1003418717996782,factor_size
2020-02-18,6,-0.049460347260623684,factor_size
2020-02-18,7,-0.012201427422121576,factor_size
2020-02-18,8,-0.07937879690125964,factor_size
2020-02-18,9,-0.056386412092056956,factor_size
2020-02-18,10,-0.08148319186488648,factor_size
2020-02-19,1,-0.12921579016566614,factor_size
2020-02-19,2,-0.12578721543568833,factor_size
2020-02-19,3,-0.12530762790164007,factor_size
2020-02-19,4,-0.006114082879022953,factor_size
2020-02-19,5,-0.09212150897591613,factor_size
2020-02-19,6,-0.08316876746177983,factor_size
2020-02-19,7,-0.026328051298751397,factor_size
2020-02-19,8,-0.1167418634281258,factor_size
2020-02-19,9,-0.07364241802490752,factor_size
2020-02-19,10,-0.08445482298674296,factor_size
2020-02-20,1,-0.1814887067157179,factor_size
2020-02-20,2,-0.15749596922497508,factor_size
2020-02-20,3,-0.16766033037956962,factor_size
2020-02-20,4,-0.03560389447388208,factor_size
2020-02-20,5,-0.09483072970182294,factor_size
2020-02-20,6,-0.11178633929810584,factor_size
2020-02-20,7,-0.02995096566302237,factor_size
2020-02-20,8,-0.17332171971406898,factor_size
2020-02-20,9,-0.09958076588492502,factor_size
2020-02-20,10,-0.1232723563803206,factor_size
2020-02-21,1,-0.15049355313935212,factor_size
2020-02-21,2,-0.1513673253585348,factor_size
2020-02-21,3,-0.13846111548605483,factor_size
2020-02-21,4,-0.026924525246446056,factor_size
2020-02-21,5,-0.0904058883743108,factor_size
2020-02-21,6,-0.10878040796009933,factor_size
2020-02-21,7,-0.0090940822305472,factor_size
2020-02-21,8,-0.16502882601821667,factor_size
2020-02-21,9,-0.07670871004591653,factor_size
2020-02-21,10,-0.11270277416338056,factor_size
2020-02-24,1,-0.17684336964243724,factor_size
2020-02-24,2,-0.21287318309371464,factor_size
2020-02-24,3,-0.14712607023721075,factor_size
2020-02-24,4,-0.06735662679584051,factor_size
2020-02-24,5,-0.12029278837511126,factor_size
2020-02-24,6,-0.14897386963022002,factor_size
2020-02-24,7,-0.04930437228738543,factor_size
2020-02-24,8,-0.1867248055582921,factor_size
2020-02-24,9,-0.10432376680378162,factor_size
2020-02-24,10,-0.13926439758531575,factor_size
2020-02-25,1,-0.1425113229100386,factor_size
2020-02-25,2,-0.20683228573541976,factor_size
2020-02-25,3,-0.11742799071083038,factor_size
2020-02-25,4,-0.04997496543632478,factor_size
2020-02-25,5,-0.11405007504997966,factor_size
2020-02-25,6,-0.13267335453514034,factor_size
2020-02-25,7,-0.005971263436889026,factor_size
2020-02-25,8,-0.16496950771231472,factor_size
2020-02-25,9,-0.06369779611846466,factor_size
2020-02-25,10,-0.12483571651314537,factor_size
2020-02-26,1,-0.10886552068647568,factor_size
2020-02-26,2,-0.1349152885802639,factor_size
2020-02-26,3,-0.08947232626724608,factor_size
2020-02-26,4,-0.05123733767754977,factor_size
2020-02-26,5,-0.0631148215915585,factor_size
2020-02-26,6,-0.10295086887799257,factor_size
2020-02-26,7,0.010617364964925751,factor_size
2020-02-26,8,-0.12574825983551743,factor_size
2020-02-26,9,-0.06222010386500927,factor_size
2020-02-26,10,-0.10857527403650946,factor_size
2020-02-27,1,-0.11756708662473274,factor_size
2020-02-27,2,-0.16111584951219576,factor_size
2020-02-27,3,-0.08164486732500995,factor_size
2020-02-27,4,-0.04560988659351935,factor_size
2020-02-27,5,-0.06153284658494373,factor_size
2020-02-27,6,-0.1132338696578131,factor_size
2020-02-27,7,-0.046835716183713905,factor_size
2020-02-27,8,-0.12962844443581484,factor_size
2020-02-27,9,-0.04922392639761732,factor_size
2020-02-27,10,-0.11719449477575587,factor_size
2020-02-28,1,-0.0829690018758361,factor_size
2020-02-28,2,-0.11704725977772468,factor_size
2020-02-28,3,-0.0406157671140463,factor_size
2020-02-28,4,-0.014932232365257165,factor_size
2020-02-28,5,-0.025244176900915447,factor_size
2020-02-28,6,-0.0610184091032811,factor_size
2020-02-28,7,-0.007399278979613925,factor_size
2020-02-28,8,-0.10297832579730674,factor_size
2020-02-28,9,-0.02084511683688982,factor_size
2020-02-28,10,-0.07531815939578833,factor_size
2020-03-02,1,-0.12250260219188389,factor_size
2020-03-02,2,-0.1843558574952049,factor_size
2020-03-02,3,-0.10517637367343947,factor_size
2020-03-02,4,-0.061823427172792524,factor_size
2020-03-02,5,-0.0636131978166874,factor_size
2020-03-02,6,-0.0985830102377685,factor_size
2020-03-02,7,-0.08380733720591307,factor_size
2020-03-02,8,-0.13081401650972904,factor_size
2020-03-02,9,-0.059001736997195346,factor_size
2020-03-02,10,-0.12132602671565085,factor_size
2020-03-03,1,-0.12420042823537196,factor_size
2020-03-03,2,-0.19111668289430123,factor_size
2020-03-03,3,-0.07212036786168563,factor_size
2020-03-03,4,-0.04224835083357246,factor_size
2020-03-03,5,-0.062317941976845675,factor_size
2020-03-03,6,-0.11012268101137539,factor_size
2020-03-03,7,-0.11061507470078057,factor_size
2020-03-03,8,-0.12361641026709211,factor_size
2020-03-03,9,-0.0391540739684973,factor_size
2020-03-03,10,-0.1389776685654567,factor_size
2020-03-04,1,-0.12284916602906457,factor_size
2020-03-04,2,-0.17674489167965396,factor_size
2020-03-04,3,-0.08905904405322498,factor_size
2020-03-04,4,-0.052993346363763794,factor_size
2020-03-04,5,-0.0798178369663565,factor_size
2020-03-04,6,-0.12879982469257695,factor_size
2020-03-04,7,-0.15856080471265627,factor_size
2020-03-04,8,-0.14505409977930794,factor_size
2020-03-04,9,-0.06293797318680135,factor_size
2020-03-04,10,-0.14742284906590303,factor_size
2020-03-05,1,-0.1497666783634068,factor_size
2020-03-05,2,-0.16961731129617205,factor_size
2020-03-05,3,-0.10780032876201355,factor_size
2020-03-05,4,-0.06341591385380727,factor_size
2020-03-05,5,-0.07706695289937071,factor_size
2020-03-05,6,-0.12396445164491383,factor_size
2020-03-05,7,-0.15551072404308497,factor_size
2020-03-05,8,-0.15824137071443906,factor_size
2020-03-05,9,-0.07897257210917608,factor_size
2020-03-05,10,-0.14504192671706073,factor_size
2020-03-06,1,-0.13717072531240104,factor_size
2020-03-06,2,-0.17797589338991465,factor_size
2020-03-06,3,-0.10043290444891448,factor_size
2020-03-06,4,-0.06888850248085504,factor_size
2020-03-06,5,-0.06583216767568888,factor_size
2020-03-06,6,-0.11044076001502585,factor_size
2020-03-06,7,-0.14062411481890053,factor_size
2020-03-06,8,-0.14963828007962107,factor_size
2020-03-06,9,-0.06264213927859202,factor_size
2020-03-06,10,-0.14730025797444599,factor_size
2020-03-09,1,-0.08829075353779854,factor_size
2020-03-09,2,-0.11740575305847015,factor_size
2020-03-09,3,-0.05529915706882557,factor_size
2020-03-09,4,-0.024369076499150016,factor_size
2020-03-09,5,0.01000210377738972,factor_size
2020-03-09,6,-0.052429121881481265,factor_size
2020-03-09,7,-0.04612645691883288,factor_size
2020-03-09,8,-0.10241478562543767,factor_size
2020-03-09,9,-0.018277982474671047,factor_size
2020-03-09,10,-0.08942123110786857,factor_size
2020-03-10,1,-0.11517687452836227,factor_size
2020-03-10,2,-0.1482990279182051,factor_size
