factor,sample_periods,ic_mean,ic_std,rank_ic_mean,rank_ic_std,ic_win_rate,rank_ic_win_rate,icir,rank_icir,ic_t_stat,ic_p_value,rank_ic_t_stat,rank_ic_p_value
factor_momentum,930,-0.013888292052223307,0.23459398778645704,-0.024940892299410964,0.2220644839615141,0.4608247422680412,0.44329896907216493,-0.05920139805486127,-0.11231373812902679,-1.8053999956892166,0.07133574637150908,-3.4251086797997385,0.0006414563441063085
factor_reversal_5d,945,-0.007681264142384552,0.22547462255466255,-0.005361921564448547,0.20320284860682608,0.4731958762886598,0.4556701030927835,-0.03406708948153293,-0.02638703936096508,-1.0472513659704241,0.2952517197448884,-0.8111600795737416,0.41747821177726646
factor_roe,0,,,,,0.0,0.0,,,,,,
factor_size,950,0.01285250755761783,0.2005103475302323,-0.0014912332462977866,0.2091444052554114,0.5061855670103093,0.46288659793814435,0.06409897402267466,-0.007130160830631172,1.9756630652066034,0.04848229988565369,-0.21976631633881905,0.826100416014805
factor_turnover,931,0.025636792138335952,0.2638218672063616,0.0677674641350078,0.2187857195052935,0.5577319587628866,0.5824742268041238,0.09717462926711394,0.3097435439947358,2.965020721959656,0.003103915087095119,9.450985646810384,2.6392490390910895e-20
factor_volatility,930,0.0019594930321973356,0.24388291860253775,0.04339722951815082,0.2161104838849181,0.5103092783505154,0.5567010309278351,0.008034564468169136,0.2008103852160197,0.2450212855236139,0.8064940618115013,6.123893700405307,1.3462271352216943e-09
