model,year,g1_return,g2_return,g3_return,g4_return,g5_return,g5_g1,monotonic_score
composite_equal,2020,0.018908530598859108,0.03751584644530036,0.039639703953829514,0.02835309838970481,0.004884535543864677,-0.01402399505499443,0.5
composite_equal,2021,-0.010498834220543485,-0.010041201810593186,-0.004276573290639918,0.01340631120290507,0.010109841446951848,0.020608675667495333,0.75
composite_equal,2022,-0.010699314807311193,-0.008855995036103041,-0.011870600485094682,-0.005568452936976,0.0007483950835000814,0.011447709890811274,0.75
composite_equal,2023,-0.004479186272788852,-0.00972861328153567,-0.010092408684623501,-0.004614526097590466,-0.0028689242257482015,0.0016102620470406503,0.5
composite_equal_size_neutral,2020,0.020487473659335627,0.027251649438995783,0.03382849962775118,0.027362411039046425,0.02018701249108291,-0.0003004611682527157,0.5
composite_equal_size_neutral,2021,-0.0026580413973466225,-0.0087486713956118,0.0025520838632942895,0.004452848046434688,0.0023200021355170067,0.00497804353286363,0.5
composite_equal_size_neutral,2022,-0.014243604152195019,-0.007197709155688497,-0.006894745550036422,-0.007248565945589074,-0.0004450102974496131,0.013798593854745406,0.75
composite_equal_size_neutral,2023,-0.0030896855638195882,-0.011887740895617565,-0.006254189351907578,-0.006283449928719323,-0.004368337488841927,-0.0012786519250223387,0.5
composite_equal_industry_size_neutral,2020,0.017522589220905053,0.028195134343231034,0.028203277973866497,0.032249701712454615,0.02327635668439832,0.005753767463493268,0.75
composite_equal_industry_size_neutral,2021,-0.0029077471511034583,-0.006471701345143981,0.0015420372131168022,0.00013795898313994506,0.0056609197231256075,0.008568666874229067,0.5
composite_equal_industry_size_neutral,2022,-0.0139514313958718,-0.006245883474368612,-0.006153866629496386,-0.00949917198369665,-0.00020852395193420874,0.013742907443937592,0.75
composite_equal_industry_size_neutral,2023,-0.0021574058009418496,-0.011288701297251883,-0.00830683235073585,-0.004729266424743948,-0.005476231367097435,-0.003318825566155585,0.5
composite_equal_neutral,2020,0.020487473659335627,0.027251649438995783,0.03382849962775118,0.027362411039046425,0.02018701249108291,-0.0003004611682527157,0.5
composite_equal_neutral,2021,-0.0026580413973466225,-0.0087486713956118,0.0025520838632942895,0.004452848046434688,0.0023200021355170067,0.00497804353286363,0.5
composite_equal_neutral,2022,-0.014243604152195019,-0.007197709155688497,-0.006894745550036422,-0.007248565945589074,-0.0004450102974496131,0.013798593854745406,0.75
composite_equal_neutral,2023,-0.0030896855638195882,-0.011887740895617565,-0.006254189351907578,-0.006283449928719323,-0.004368337488841927,-0.0012786519250223387,0.5
composite_ic_weight,2020,0.018035747592741933,0.02827305468942093,0.03474193716279806,0.0317799503950965,0.016582910912553924,-0.001452836680188009,0.5
composite_ic_weight,2021,-0.007096203346527378,0.001392980509157757,0.004607936284471548,-0.0012229681994290202,0.0009374441855818251,0.008033647532109204,0.75
composite_ic_weight,2022,-0.020433720639479246,-0.005667496252605294,-0.0014912206396542206,-0.002946420058860992,-0.004982439644231003,0.015451280995248243,0.5
composite_ic_weight,2023,-0.0038969526500383335,-0.01111751344553554,-0.012346427595978305,-0.005665702065385442,0.001383523841347341,0.005280476491385674,0.5
composite_ic_weight_size_neutral,2020,0.017437403753865148,0.028872025043552595,0.03340269874380681,0.03381073756979696,0.015923422179148806,-0.0015139815747163415,0.75
composite_ic_weight_size_neutral,2021,-0.009145772128098278,0.0018902442509454833,-0.005486390177142551,0.0040526462629142945,0.007445513927588813,0.01659128605568709,0.75
composite_ic_weight_size_neutral,2022,-0.02041126943445487,-0.008685396979510901,-0.005037916540355988,-0.00024892004147154036,-0.0011246452148604765,0.019286624219594393,0.75
composite_ic_weight_size_neutral,2023,-0.0034834379912988605,-0.0118949904379602,-0.012831056712703473,-0.0048143590328359066,0.0013527427126019567,0.004836180703900817,0.5
composite_ic_weight_industry_size_neutral,2020,0.016947426197096944,0.02936825979051412,0.028847658248312685,0.03442065078457417,0.019908257046609118,0.0029608308495121735,0.5
composite_ic_weight_industry_size_neutral,2021,-0.007862972596616656,-0.00281340042958688,0.005271260471962582,-0.0007409418383671603,0.004835301857335237,0.012698274453951892,0.75
composite_ic_weight_industry_size_neutral,2022,-0.02192589566313867,-0.007342909905740221,-0.004154993913578642,-0.002256366299095902,0.00029641539527171576,0.022222311058410386,1.0
composite_ic_weight_industry_size_neutral,2023,-0.0005446406697557513,-0.015489929318918143,-0.013197188080590134,-0.003059507927432614,0.00029363149877315465,0.0008382721685289059,0.75
composite_ic_weight_neutral,2020,0.017437403753865148,0.028872025043552595,0.03340269874380681,0.03381073756979696,0.015923422179148806,-0.0015139815747163415,0.75
composite_ic_weight_neutral,2021,-0.009145772128098278,0.0018902442509454833,-0.005486390177142551,0.0040526462629142945,0.007445513927588813,0.01659128605568709,0.75
composite_ic_weight_neutral,2022,-0.02041126943445487,-0.008685396979510901,-0.005037916540355988,-0.00024892004147154036,-0.0011246452148604765,0.019286624219594393,0.75
