model,rebalance_days,avg_turnover,cost_rate,annual_cost_estimate
composite_equal,5,0.159041394335512,0.001,0.01603137254901961
composite_equal,5,0.159041394335512,0.002,0.03206274509803922
composite_equal,5,0.159041394335512,0.003,0.04809411764705883
composite_equal,10,0.159041394335512,0.001,0.008015686274509805
composite_equal,10,0.159041394335512,0.002,0.01603137254901961
composite_equal,10,0.159041394335512,0.003,0.024047058823529414
composite_equal,20,0.159041394335512,0.001,0.004007843137254902
composite_equal,20,0.159041394335512,0.002,0.008015686274509805
composite_equal,20,0.159041394335512,0.003,0.012023529411764707
composite_equal,60,0.159041394335512,0.001,0.0013359477124183009
composite_equal,60,0.159041394335512,0.002,0.0026718954248366017
composite_equal,60,0.159041394335512,0.003,0.004007843137254902
composite_equal_size_neutral,5,0.2073156748079349,0.001,0.020897420020639837
composite_equal_size_neutral,5,0.2073156748079349,0.002,0.041794840041279674
composite_equal_size_neutral,5,0.2073156748079349,0.003,0.06269226006191951
composite_equal_size_neutral,10,0.2073156748079349,0.001,0.010448710010319918
composite_equal_size_neutral,10,0.2073156748079349,0.002,0.020897420020639837
composite_equal_size_neutral,10,0.2073156748079349,0.003,0.031346130030959755
composite_equal_size_neutral,20,0.2073156748079349,0.001,0.005224355005159959
composite_equal_size_neutral,20,0.2073156748079349,0.002,0.010448710010319918
composite_equal_size_neutral,20,0.2073156748079349,0.003,0.015673065015479878
composite_equal_size_neutral,60,0.2073156748079349,0.001,0.001741451668386653
composite_equal_size_neutral,60,0.2073156748079349,0.002,0.003482903336773306
composite_equal_size_neutral,60,0.2073156748079349,0.003,0.005224355005159959
composite_equal_industry_size_neutral,5,0.20765967205595695,0.001,0.02093209494324046
composite_equal_industry_size_neutral,5,0.20765967205595695,0.002,0.04186418988648092
composite_equal_industry_size_neutral,5,0.20765967205595695,0.003,0.06279628482972138
composite_equal_industry_size_neutral,10,0.20765967205595695,0.001,0.01046604747162023
composite_equal_industry_size_neutral,10,0.20765967205595695,0.002,0.02093209494324046
composite_equal_industry_size_neutral,10,0.20765967205595695,0.003,0.03139814241486069
composite_equal_industry_size_neutral,20,0.20765967205595695,0.001,0.005233023735810115
composite_equal_industry_size_neutral,20,0.20765967205595695,0.002,0.01046604747162023
composite_equal_industry_size_neutral,20,0.20765967205595695,0.003,0.015699071207430346
composite_equal_industry_size_neutral,60,0.20765967205595695,0.001,0.0017443412452700386
composite_equal_industry_size_neutral,60,0.20765967205595695,0.002,0.003488682490540077
composite_equal_industry_size_neutral,60,0.20765967205595695,0.003,0.005233023735810115
composite_equal_neutral,5,0.2073156748079349,0.001,0.020897420020639837
composite_equal_neutral,5,0.2073156748079349,0.002,0.041794840041279674
composite_equal_neutral,5,0.2073156748079349,0.003,0.06269226006191951
composite_equal_neutral,10,0.2073156748079349,0.001,0.010448710010319918
composite_equal_neutral,10,0.2073156748079349,0.002,0.020897420020639837
composite_equal_neutral,10,0.2073156748079349,0.003,0.031346130030959755
composite_equal_neutral,20,0.2073156748079349,0.001,0.005224355005159959
composite_equal_neutral,20,0.2073156748079349,0.002,0.010448710010319918
composite_equal_neutral,20,0.2073156748079349,0.003,0.015673065015479878
composite_equal_neutral,60,0.2073156748079349,0.001,0.001741451668386653
composite_equal_neutral,60,0.2073156748079349,0.002,0.003482903336773306
composite_equal_neutral,60,0.2073156748079349,0.003,0.005224355005159959
composite_ic_weight,5,0.0712074303405573,0.001,0.007177708978328177
composite_ic_weight,5,0.0712074303405573,0.002,0.014355417956656354
composite_ic_weight,5,0.0712074303405573,0.003,0.021533126934984527
composite_ic_weight,10,0.0712074303405573,0.001,0.0035888544891640884
composite_ic_weight,10,0.0712074303405573,0.002,0.007177708978328177
composite_ic_weight,10,0.0712074303405573,0.003,0.010766563467492263
composite_ic_weight,20,0.0712074303405573,0.001,0.0017944272445820442
composite_ic_weight,20,0.0712074303405573,0.002,0.0035888544891640884
composite_ic_weight,20,0.0712074303405573,0.003,0.005383281733746132
composite_ic_weight,60,0.0712074303405573,0.001,0.0005981424148606814
composite_ic_weight,60,0.0712074303405573,0.002,0.0011962848297213627
composite_ic_weight,60,0.0712074303405573,0.003,0.0017944272445820442
composite_ic_weight_size_neutral,5,0.06386882238275429,0.001,0.006437977296181633
composite_ic_weight_size_neutral,5,0.06386882238275429,0.002,0.012875954592363266
composite_ic_weight_size_neutral,5,0.06386882238275429,0.003,0.019313931888544897
composite_ic_weight_size_neutral,10,0.06386882238275429,0.001,0.0032189886480908166
composite_ic_weight_size_neutral,10,0.06386882238275429,0.002,0.006437977296181633
composite_ic_weight_size_neutral,10,0.06386882238275429,0.003,0.009656965944272448
composite_ic_weight_size_neutral,20,0.06386882238275429,0.001,0.0016094943240454083
composite_ic_weight_size_neutral,20,0.06386882238275429,0.002,0.0032189886480908166
composite_ic_weight_size_neutral,20,0.06386882238275429,0.003,0.004828482972136224
composite_ic_weight_size_neutral,60,0.06386882238275429,0.001,0.0005364981080151361
composite_ic_weight_size_neutral,60,0.06386882238275429,0.002,0.0010729962160302721
composite_ic_weight_size_neutral,60,0.06386882238275429,0.003,0.0016094943240454083
