trade_date,model,top_group_count,overlap_count,turnover
2020-06-08,composite_equal,9,7.0,0.2222222222222222
2020-06-09,composite_equal,9,8.0,0.11111111111111116
2020-06-10,composite_equal,9,8.0,0.11111111111111116
2020-06-11,composite_equal,9,8.0,0.11111111111111116
2020-06-12,composite_equal,9,7.0,0.2222222222222222
2020-06-15,composite_equal,9,6.0,0.33333333333333337
2020-06-16,composite_equal,9,7.0,0.2222222222222222
2020-06-17,composite_equal,9,7.0,0.2222222222222222
2020-06-18,composite_equal,9,7.0,0.2222222222222222
2020-06-19,composite_equal,9,8.0,0.11111111111111116
2020-06-22,composite_equal,9,7.0,0.2222222222222222
2020-06-23,composite_equal,9,9.0,0.0
2020-06-24,composite_equal,9,7.0,0.2222222222222222
2020-06-29,composite_equal,9,9.0,0.0
2020-06-30,composite_equal,9,9.0,0.0
2020-07-01,composite_equal,9,8.0,0.11111111111111116
2020-07-02,composite_equal,9,9.0,0.0
2020-07-03,composite_equal,9,8.0,0.11111111111111116
2020-07-06,composite_equal,9,8.0,0.11111111111111116
2020-07-07,composite_equal,9,7.0,0.2222222222222222
2020-07-08,composite_equal,9,8.0,0.11111111111111116
2020-07-09,composite_equal,9,7.0,0.2222222222222222
2020-07-10,composite_equal,9,7.0,0.2222222222222222
2020-07-13,composite_equal,9,7.0,0.2222222222222222
2020-07-14,composite_equal,9,7.0,0.2222222222222222
2020-07-15,composite_equal,9,7.0,0.2222222222222222
2020-07-16,composite_equal,9,8.0,0.11111111111111116
2020-07-17,composite_equal,9,7.0,0.2222222222222222
2020-07-20,composite_equal,9,8.0,0.11111111111111116
2020-07-21,composite_equal,9,8.0,0.11111111111111116
2020-07-22,composite_equal,9,7.0,0.2222222222222222
2020-07-23,composite_equal,9,7.0,0.2222222222222222
2020-07-24,composite_equal,9,6.0,0.33333333333333337
2020-07-27,composite_equal,9,6.0,0.33333333333333337
2020-07-28,composite_equal,9,8.0,0.11111111111111116
2020-07-29,composite_equal,9,8.0,0.11111111111111116
