model,raw_rank_ic,size_neutral_rank_ic,industry_size_neutral_rank_ic,raw_g5_g1_return,size_neutral_g5_g1_return,industry_size_neutral_g5_g1_return,raw_size_corr,size_neutral_size_corr,industry_size_neutral_size_corr
equal_weight,0.03757569589693083,0.048890885024214716,0.053018567553888896,0.06454915412129991,0.057045263223382214,0.08355008915811979,0.49149358593887366,0.06308065123063493,0.057726565733317144
ic_weight,0.05873368574753965,0.07048000744087297,0.07157931571182742,0.08986816149797083,0.13215590450717118,0.13162487894802033,-0.009167008859135914,0.08891851392113446,0.09440464628043391
pca,0.015927827080970968,0.047087503353822655,0.04788401207913766,-0.03231812999583328,0.038911926117552564,0.06956307735458434,-0.10026636550324466,0.06539390325677981,0.07282772192637452
rolling_ic_weight,0.06692502423582906,0.055351946646446284,0.05879427184386278,0.14465185150062831,0.06371966240359095,0.10013822922974569,0.27289757326768455,0.08161052619918985,0.07622007370274436
