component,explained_variance_ratio,cumulative_explained_variance_ratio
PC1,0.3772686736387201,0.3772686736387201
PC2,0.2565247823754803,0.6337934560142005
PC3,0.1975683080500592,0.8313617640642597
PC4,0.09856101863357043,0.9299227826978301
PC5,0.07007721730217002,1.0000000000000002
