trade_date,group,period_return,factor
2020-02-05,5.0,0.06186109475894614,composite_ic_weight
2020-02-06,1.0,0.14062083395963781,composite_ic_weight
2020-02-06,2.0,0.10429300374732293,composite_ic_weight
2020-02-06,3.0,0.17202664314363109,composite_ic_weight
2020-02-06,4.0,0.10870482417118033,composite_ic_weight
2020-02-06,5.0,0.11502959246485951,composite_ic_weight
2020-02-07,1.0,0.10819427234584737,composite_ic_weight
2020-02-07,2.0,0.17492247196047578,composite_ic_weight
2020-02-07,3.0,0.1140652641910207,composite_ic_weight
2020-02-07,4.0,0.050079628569269945,composite_ic_weight
2020-02-07,5.0,0.11021199193820998,composite_ic_weight
2020-02-10,1.0,0.04403261138390474,composite_ic_weight
2020-02-10,2.0,0.1263533465700092,composite_ic_weight
2020-02-10,3.0,0.039375530294431846,composite_ic_weight
2020-02-10,4.0,0.019935897372442966,composite_ic_weight
2020-02-10,5.0,0.05675228393309167,composite_ic_weight
2020-02-11,1.0,0.0713727563404735,composite_ic_weight
2020-02-11,2.0,0.12206591627622203,composite_ic_weight
2020-02-11,3.0,0.055950956069203465,composite_ic_weight
2020-02-11,4.0,0.013708033328654912,composite_ic_weight
2020-02-11,5.0,0.08235932896577743,composite_ic_weight
2020-02-12,1.0,0.06140735893662221,composite_ic_weight
2020-02-12,2.0,0.08020309835321761,composite_ic_weight
2020-02-12,3.0,0.03725453864098401,composite_ic_weight
2020-02-12,4.0,0.007817377997934867,composite_ic_weight
2020-02-12,5.0,0.061114877656854034,composite_ic_weight
2020-02-13,1.0,0.008442249489441257,composite_ic_weight
2020-02-13,2.0,0.06604427354557497,composite_ic_weight
2020-02-13,3.0,0.02032397444488612,composite_ic_weight
2020-02-13,4.0,0.0020046935154151104,composite_ic_weight
2020-02-13,5.0,0.055417681381407145,composite_ic_weight
2020-02-14,1.0,-0.002612923589110629,composite_ic_weight
2020-02-14,2.0,0.035226374693973085,composite_ic_weight
2020-02-14,3.0,0.014885704357714956,composite_ic_weight
2020-02-14,4.0,-0.018953070508683303,composite_ic_weight
2020-02-14,5.0,-0.003011619741788489,composite_ic_weight
2020-02-17,1.0,-0.08985594805551658,composite_ic_weight
2020-02-17,2.0,-0.051549285383929756,composite_ic_weight
2020-02-17,3.0,-0.05390212743363288,composite_ic_weight
2020-02-17,4.0,-0.07617502634902582,composite_ic_weight
2020-02-17,5.0,-0.06075564409012727,composite_ic_weight
2020-02-18,1.0,-0.10576307831467704,composite_ic_weight
2020-02-18,2.0,-0.04242878825777596,composite_ic_weight
2020-02-18,3.0,-0.05660492464592526,composite_ic_weight
2020-02-18,4.0,-0.0835061649494209,composite_ic_weight
2020-02-18,5.0,-0.05689140190509345,composite_ic_weight
2020-02-19,1.0,-0.11799500291755897,composite_ic_weight
2020-02-19,2.0,-0.05339987422846747,composite_ic_weight
2020-02-19,3.0,-0.08677210423719166,composite_ic_weight
2020-02-19,4.0,-0.11839764956499652,composite_ic_weight
2020-02-19,5.0,-0.05443716168205556,composite_ic_weight
2020-02-20,1.0,-0.14952556715943752,composite_ic_weight
2020-02-20,2.0,-0.06361979148617393,composite_ic_weight
2020-02-20,3.0,-0.12649944601040122,composite_ic_weight
2020-02-20,4.0,-0.16828725457751775,composite_ic_weight
2020-02-20,5.0,-0.08466911058794455,composite_ic_weight
2020-02-21,1.0,-0.1473453164359096,composite_ic_weight
2020-02-21,2.0,-0.06997940816305835,composite_ic_weight
2020-02-21,3.0,-0.10040473746755613,composite_ic_weight
2020-02-21,4.0,-0.14146126699548686,composite_ic_weight
2020-02-21,5.0,-0.06167826288705082,composite_ic_weight
2020-02-24,1.0,-0.22732846958697267,composite_ic_weight
2020-02-24,2.0,-0.08802343290184275,composite_ic_weight
2020-02-24,3.0,-0.12544683263480996,composite_ic_weight
2020-02-24,4.0,-0.15847421550969795,composite_ic_weight
2020-02-24,5.0,-0.0803982474506861,composite_ic_weight
2020-02-25,1.0,-0.23580527598060938,composite_ic_weight
2020-02-25,2.0,-0.034781550671310356,composite_ic_weight
2020-02-25,3.0,-0.11282620377715655,composite_ic_weight
2020-02-25,4.0,-0.12233377305645833,composite_ic_weight
2020-02-25,5.0,-0.05844975090290573,composite_ic_weight
2020-02-26,1.0,-0.167747732746962,composite_ic_weight
2020-02-26,2.0,-0.021585734167988608,composite_ic_weight
2020-02-26,3.0,-0.07666246366962015,composite_ic_weight
2020-02-26,4.0,-0.0839167761301453,composite_ic_weight
2020-02-26,5.0,-0.07347335581418776,composite_ic_weight
2020-02-27,1.0,-0.18459477965051185,composite_ic_weight
2020-02-27,2.0,-0.039189731654429655,composite_ic_weight
2020-02-27,3.0,-0.07619509464602525,composite_ic_weight
2020-02-27,4.0,-0.08906478068244766,composite_ic_weight
2020-02-27,5.0,-0.07696703606811735,composite_ic_weight
2020-02-28,1.0,-0.14239195740768004,composite_ic_weight
2020-02-28,2.0,0.01806677815022799,composite_ic_weight
2020-02-28,3.0,-0.041012435924810006,composite_ic_weight
2020-02-28,4.0,-0.07214621798181414,composite_ic_weight
2020-02-28,5.0,-0.04088753833527409,composite_ic_weight
2020-03-02,1.0,-0.2009319540779022,composite_ic_weight
2020-03-02,2.0,-0.036843262661423036,composite_ic_weight
2020-03-02,3.0,-0.09040726864468003,composite_ic_weight
2020-03-02,4.0,-0.10098604055276775,composite_ic_weight
2020-03-02,5.0,-0.08666339965324779,composite_ic_weight
2020-03-03,1.0,-0.21399068230318044,composite_ic_weight
2020-03-03,2.0,-0.03038896322035663,composite_ic_weight
2020-03-03,3.0,-0.07462254333744973,composite_ic_weight
2020-03-03,4.0,-0.09115238805184638,composite_ic_weight
2020-03-03,5.0,-0.09809545206093413,composite_ic_weight
2020-03-04,1.0,-0.1987599622716024,composite_ic_weight
2020-03-04,2.0,-0.0449847546390247,composite_ic_weight
2020-03-04,3.0,-0.12790537525911197,composite_ic_weight
2020-03-04,4.0,-0.11108726702591741,composite_ic_weight
2020-03-04,5.0,-0.09860303652166633,composite_ic_weight
2020-03-05,1.0,-0.1845054212411355,composite_ic_weight
2020-03-05,2.0,-0.05629886988500472,composite_ic_weight
2020-03-05,3.0,-0.14187433913587016,composite_ic_weight
2020-03-05,4.0,-0.13035974612136453,composite_ic_weight
2020-03-05,5.0,-0.1028655295013411,composite_ic_weight
2020-03-06,1.0,-0.2060284776854499,composite_ic_weight
2020-03-06,2.0,-0.02711787882289319,composite_ic_weight
2020-03-06,3.0,-0.1302671312264066,composite_ic_weight
2020-03-06,4.0,-0.12062808562313466,composite_ic_weight
2020-03-06,5.0,-0.09697719591592141,composite_ic_weight
2020-03-09,1.0,-0.14166333441179865,composite_ic_weight
2020-03-09,2.0,0.04192756131083894,composite_ic_weight
2020-03-09,3.0,-0.06959290744529034,composite_ic_weight
2020-03-09,4.0,-0.07594062360962249,composite_ic_weight
2020-03-09,5.0,-0.05126361194179318,composite_ic_weight
2020-03-10,1.0,-0.17598781074172798,composite_ic_weight
2020-03-10,2.0,0.020619639440955254,composite_ic_weight
2020-03-10,3.0,-0.09300892294150327,composite_ic_weight
2020-03-10,4.0,-0.09217894827317592,composite_ic_weight
2020-03-10,5.0,-0.07028457521264854,composite_ic_weight
2020-03-11,1.0,-0.15340061242803188,composite_ic_weight
