trade_date,window,factor,weight
2020-08-21,120,factor_momentum,0.6506892989105061
2020-08-24,120,factor_momentum,0.6616021693427241
2020-08-25,120,factor_momentum,0.6574555066925188
2020-08-26,120,factor_momentum,0.6653287649537681
2020-08-27,120,factor_momentum,0.7070742623213926
2020-08-28,120,factor_momentum,0.7224677045799703
2020-08-31,120,factor_momentum,0.7300572074698539
2020-09-01,120,factor_momentum,0.7349970397387333
2020-09-02,120,factor_momentum,0.6764630102004002
2020-09-03,120,factor_momentum,0.5771190009924463
2020-09-04,120,factor_momentum,0.48680818977820145
2020-09-07,120,factor_momentum,0.44164586624610697
2020-09-08,120,factor_momentum,0.4398551351866232
2020-09-09,120,factor_momentum,0.43707117468787393
2020-09-10,120,factor_momentum,0.35625655176761806
2020-09-11,120,factor_momentum,0.2836356738960118
2020-09-14,120,factor_momentum,0.2785953724431647
2020-09-15,120,factor_momentum,0.2426845711172215
2020-09-16,120,factor_momentum,0.2282618106257169
2020-09-17,120,factor_momentum,0.2197837661851947
2020-09-18,120,factor_momentum,0.20845261063004092
2020-09-21,120,factor_momentum,0.173447169798269
2020-09-22,120,factor_momentum,0.11151799036947883
2020-09-23,120,factor_momentum,0.06239364062108639
2020-09-24,120,factor_momentum,0.09114790123203156
2020-09-25,120,factor_momentum,0.14309606560118251
2020-09-28,120,factor_momentum,0.17902543937737894
2020-09-29,120,factor_momentum,0.2113865738849149
2020-09-30,120,factor_momentum,0.24639902528684196
2020-10-09,120,factor_momentum,0.2848910039416931
2020-10-12,120,factor_momentum,0.32619653619328565
2020-10-13,120,factor_momentum,0.34980564995321584
2020-10-14,120,factor_momentum,0.36256328822598954
2020-10-15,120,factor_momentum,0.35446746305782934
2020-10-16,120,factor_momentum,0.3359525635355901
2020-10-19,120,factor_momentum,0.31036105111344964
2020-10-20,120,factor_momentum,0.2851974621908094
2020-10-21,120,factor_momentum,0.27392033886994455
2020-10-22,120,factor_momentum,0.2648883558996479
2020-10-23,120,factor_momentum,0.26163227908926884
2020-10-26,120,factor_momentum,0.2530655457279346
2020-10-27,120,factor_momentum,0.2518959722921871
2020-10-28,120,factor_momentum,0.2419436015710891
2020-10-29,120,factor_momentum,0.2247042462051368
2020-10-30,120,factor_momentum,0.2073569040756686
2020-11-02,120,factor_momentum,0.18838413746225294
2020-11-03,120,factor_momentum,0.16416454862829832
2020-11-04,120,factor_momentum,0.1495734040751237
2020-11-05,120,factor_momentum,0.13188009946221355
2020-11-06,120,factor_momentum,0.11487298264256872
2020-11-09,120,factor_momentum,0.09713971519727588
2020-11-10,120,factor_momentum,0.07834067589450973
2020-11-11,120,factor_momentum,0.05867126887087108
2020-11-12,120,factor_momentum,0.0388573946318015
2020-11-13,120,factor_momentum,0.030400762837551217
2020-11-16,120,factor_momentum,0.018818927847280155
2020-11-17,120,factor_momentum,0.005921595963052701
2020-11-18,120,factor_momentum,0.0
2020-11-19,120,factor_momentum,0.0
2020-11-20,120,factor_momentum,0.0
2020-11-23,120,factor_momentum,0.0
2020-11-24,120,factor_momentum,0.0
2020-11-25,120,factor_momentum,0.0
2020-11-26,120,factor_momentum,0.0
2020-11-27,120,factor_momentum,0.0
2020-11-30,120,factor_momentum,0.0
2020-12-01,120,factor_momentum,0.0
2020-12-02,120,factor_momentum,0.0
2020-12-03,120,factor_momentum,0.0
2020-12-04,120,factor_momentum,0.0
2020-12-07,120,factor_momentum,0.0
2020-12-08,120,factor_momentum,0.0
2020-12-09,120,factor_momentum,0.0
2020-12-10,120,factor_momentum,0.0
2020-12-11,120,factor_momentum,0.0
2020-12-14,120,factor_momentum,0.0
2020-12-15,120,factor_momentum,0.0
2020-12-16,120,factor_momentum,0.0
2020-12-17,120,factor_momentum,0.0
2020-12-18,120,factor_momentum,0.0
2020-12-21,120,factor_momentum,0.009233824927579012
2020-12-22,120,factor_momentum,0.015585174581527946
2020-12-23,120,factor_momentum,0.026615590353850603
2020-12-24,120,factor_momentum,0.03679357094999944
2020-12-25,120,factor_momentum,0.044392701136183495
2020-12-28,120,factor_momentum,0.04376813566977017
2020-12-29,120,factor_momentum,0.04457567776722421
2020-12-30,120,factor_momentum,0.061909890713311475
2020-12-31,120,factor_momentum,0.0770997262832052
2021-01-04,120,factor_momentum,0.10530544736278362
2021-01-05,120,factor_momentum,0.12445303575211301
2021-01-06,120,factor_momentum,0.14433871527679526
2021-01-07,120,factor_momentum,0.167530694702564
2021-01-08,120,factor_momentum,0.18534324742708772
2021-01-11,120,factor_momentum,0.2193343787483092
2021-01-12,120,factor_momentum,0.25350277932000653
2021-01-13,120,factor_momentum,0.28462949564433293
2021-01-14,120,factor_momentum,0.31524751074602425
2021-01-15,120,factor_momentum,0.32649951449740744
2021-01-18,120,factor_momentum,0.34122427800543925
2021-01-19,120,factor_momentum,0.3338042860803778
2021-01-20,120,factor_momentum,0.334899930438555
2021-01-21,120,factor_momentum,0.3286915473250502
2021-01-22,120,factor_momentum,0.3093350734591883
2021-01-25,120,factor_momentum,0.2933260474643464
2021-01-26,120,factor_momentum,0.2841141549779475
2021-01-27,120,factor_momentum,0.27857430926961957
2021-01-28,120,factor_momentum,0.2812423005755999
2021-01-29,120,factor_momentum,0.2811592437581392
2021-02-01,120,factor_momentum,0.2757538667180397
2021-02-02,120,factor_momentum,0.25940546054421293
2021-02-03,120,factor_momentum,0.24443588431502777
2021-02-04,120,factor_momentum,0.22426382399036615
2021-02-05,120,factor_momentum,0.19973657490148336
2021-02-08,120,factor_momentum,0.16283733127420785
2021-02-09,120,factor_momentum,0.11003168492413734
2021-02-10,120,factor_momentum,0.07046333607862124
2021-02-18,120,factor_momentum,0.02861282474318669
2021-02-19,120,factor_momentum,0.007559549761309052
2021-02-22,120,factor_momentum,0.0
2021-02-23,120,factor_momentum,0.0
2021-02-24,120,factor_momentum,0.0
2021-02-25,120,factor_momentum,0.0
2021-02-26,120,factor_momentum,0.0
2021-03-01,120,factor_momentum,0.0
2021-03-02,120,factor_momentum,0.0
2021-03-03,120,factor_momentum,0.0
2021-03-04,120,factor_momentum,0.0
2021-03-05,120,factor_momentum,0.0
2021-03-08,120,factor_momentum,0.0
2021-03-09,120,factor_momentum,0.005602027109153129
2021-03-10,120,factor_momentum,0.01552206185732649
2021-03-11,120,factor_momentum,0.047983558665375195
2021-03-12,120,factor_momentum,0.05040150837841904
2021-03-15,120,factor_momentum,0.05974071157947451
2021-03-16,120,factor_momentum,0.048407912172381
