factor,group,mean_period_return,annual_return,annual_vol,sharpe,max_drawdown,win_rate
composite_equal,1,-0.0016211129642081446,-0.020235064388347546,0.24925765728506263,-0.08118131498446118,-0.9998821962106851,0.47368421052631576
composite_equal,2,0.002498353367364204,0.03193945185348279,0.23637938880896858,0.13511944511919713,-0.9999307106891248,0.508421052631579
composite_equal,3,0.0036632007429218297,0.04714979811026998,0.22538703542422836,0.2091948102583789,-0.9997533780972164,0.49894736842105264
composite_equal,4,0.0081847853964115,0.10816837895375886,0.22271762172854,0.4856749911131872,-0.9938958127045074,0.4905263157894737
composite_equal,5,0.0033556253061677237,0.04311361156685822,0.19935281582454759,0.21626788359389387,-0.9915296364856133,0.4789473684210526
composite_equal,G5-G1,0.004976738270375866,0.06454915412129991,0.222103626546224,0.29062629514455945,-0.9914911989487173,0.5389473684210526
composite_equal_size_neutral,1,0.00021019962069914207,0.002651746578173464,0.2443553030207489,0.01085201158064614,-0.9994603121596827,0.48
composite_equal_size_neutral,2,0.00012136796846168108,0.0015303133462136742,0.22970966326926232,0.006661945886098241,-0.999785356369942,0.4831578947368421
composite_equal_size_neutral,3,0.006087919293780792,0.07947545255051702,0.22485386794935106,0.3534537932361434,-0.9978578389743686,0.49894736842105264
composite_equal_size_neutral,4,0.0048231885418564885,0.06250155712988548,0.21333414125106265,0.29297493951673875,-0.9963906056097357,0.5
composite_equal_size_neutral,5,0.00462288541027165,0.05983594994222896,0.19644586622294555,0.30459256329843765,-0.985185090157814,0.5231578947368422
composite_equal_size_neutral,G5-G1,0.004412685789572509,0.057045263223382214,0.20055090096955472,0.2844428169985741,-0.9660120755779357,0.5442105263157895
composite_equal_industry_size_neutral,1,-0.0003197724869981905,-0.004021669018162144,0.25079584809314237,-0.01603562837558837,-0.9994382530551544,0.4789473684210526
composite_equal_industry_size_neutral,2,0.0013275776102610844,0.016856884739631983,0.22371837128057695,0.07534868345027812,-0.9993507412807029,0.48736842105263156
composite_equal_industry_size_neutral,3,0.0040997464044583735,0.05290309705035612,0.22215171954289445,0.23813948935084095,-0.9982026810122541,0.4968421052631579
composite_equal_industry_size_neutral,4,0.004759478718612343,0.061653046730917316,0.21826785097499435,0.2824650834079112,-0.9990328544868705,0.4926315789473684
composite_equal_industry_size_neutral,5,0.006069023165436427,0.07922002196270661,0.19789220298132298,0.4003190664878463,-0.9858055134476281,0.531578947368421
composite_equal_industry_size_neutral,G5-G1,0.006388795652434618,0.08355008915811979,0.1997294522105991,0.41831631856689194,-0.9602869841098653,0.5452631578947369
composite_equal_neutral,1,0.00021019962069914207,0.002651746578173464,0.2443553030207489,0.01085201158064614,-0.9994603121596827,0.48
composite_equal_neutral,2,0.00012136796846168108,0.0015303133462136742,0.22970966326926232,0.006661945886098241,-0.999785356369942,0.4831578947368421
composite_equal_neutral,3,0.006087919293780792,0.07947545255051702,0.22485386794935106,0.3534537932361434,-0.9978578389743686,0.49894736842105264
composite_equal_neutral,4,0.0048231885418564885,0.06250155712988548,0.21333414125106265,0.29297493951673875,-0.9963906056097357,0.5
composite_equal_neutral,5,0.00462288541027165,0.05983594994222896,0.19644586622294555,0.30459256329843765,-0.985185090157814,0.5231578947368422
composite_equal_neutral,G5-G1,0.004412685789572509,0.057045263223382214,0.20055090096955472,0.2844428169985741,-0.9660120755779357,0.5442105263157895
composite_ic_weight,1,-0.003317657506560365,-0.041007458498776184,0.25631905805585337,-0.15998599093572055,-0.9999582939883076,0.46421052631578946
composite_ic_weight,2,0.0035465520791739496,0.045617376060776316,0.226953308553521,0.20099894710289562,-0.9978620213958741,0.49473684210526314
composite_ic_weight,3,0.006800249396403167,0.0891451506508043,0.22795093713916953,0.39107165677664685,-0.9935859651198653,0.5242105263157895
composite_ic_weight,4,0.005741607537670806,0.07480296926404861,0.22533824937504096,0.3319585976704316,-0.998449983752743,0.5189473684210526
composite_ic_weight,5,0.0035356191449707345,0.04547385517482705,0.18497756388072906,0.2458344364625104,-0.9883151586301008,0.4747368421052632
composite_ic_weight,G5-G1,0.0068532766515311,0.08986816149797083,0.2079879642842456,0.4320834708259994,-0.9788518917439794,0.5526315789473685
composite_ic_weight_size_neutral,1,-0.0038926146864684983,-0.04795469299501798,0.250761997035614,-0.19123588726328136,-0.9999744618180808,0.4536842105263158
composite_ic_weight_size_neutral,2,0.0028765026234676134,0.036854804938428076,0.230116696951152,0.16015702218362463,-0.9986082246431061,0.4905263157894737
composite_ic_weight_size_neutral,3,0.0028589395670664125,0.03662603602077774,0.23207538841569622,0.15781956143997805,-0.9997734824998148,0.4905263157894737
composite_ic_weight_size_neutral,4,0.008496606227392796,0.11249471757100249,0.21738188342877537,0.5174981272432535,-0.9950781930583612,0.5378947368421053
composite_ic_weight_size_neutral,5,0.00600715390961962,0.07838408648556139,0.18819872722884273,0.4164963687041795,-0.984940653293925,0.5157894736842106
composite_ic_weight_size_neutral,G5-G1,0.009899768596088118,0.13215590450717118,0.20587330042572613,0.6419283327847055,-0.9698916218994391,0.5768421052631579
composite_ic_weight_industry_size_neutral,1,-0.00338889974131434,-0.04187080772211249,0.25285789990286706,-0.16559026923104542,-0.9999679717625454,0.46842105263157896
composite_ic_weight_industry_size_neutral,2,0.001302191914438269,0.016532112115204667,0.22588308016281736,0.07318880238080806,-0.9995894278414819,0.4926315789473684
composite_ic_weight_industry_size_neutral,3,0.004584855755841949,0.05933055236732154,0.22587186161336625,0.2626734996715969,-0.9961429779577649,0.5052631578947369
composite_ic_weight_industry_size_neutral,4,0.007325176704902167,0.09632186905137652,0.2197897814787409,0.43824543799682164,-0.9985283439286801,0.5252631578947369
composite_ic_weight_industry_size_neutral,5,0.006473266875833548,0.08469658890754439,0.19241846703424048,0.44016871256163165,-0.9819633250109645,0.5063157894736842
composite_ic_weight_industry_size_neutral,G5-G1,0.00986216661714789,0.13162487894802033,0.20438380884096258,0.6440083473072065,-0.9437260993521941,0.5715789473684211
composite_ic_weight_neutral,1,-0.0038926146864684983,-0.04795469299501798,0.250761997035614,-0.19123588726328136,-0.9999744618180808,0.4536842105263158
composite_ic_weight_neutral,2,0.0028765026234676134,0.036854804938428076,0.230116696951152,0.16015702218362463,-0.9986082246431061,0.4905263157894737
composite_ic_weight_neutral,3,0.0028589395670664125,0.03662603602077774,0.23207538841569622,0.15781956143997805,-0.9997734824998148,0.4905263157894737
composite_ic_weight_neutral,4,0.008496606227392796,0.11249471757100249,0.21738188342877537,0.5174981272432535,-0.9950781930583612,0.5378947368421053
composite_ic_weight_neutral,5,0.00600715390961962,0.07838408648556139,0.18819872722884273,0.4164963687041795,-0.984940653293925,0.5157894736842106
composite_ic_weight_neutral,G5-G1,0.009899768596088118,0.13215590450717118,0.20587330042572613,0.6419283327847055,-0.9698916218994391,0.5768421052631579
composite_pca,1,0.002465788528774536,0.03151716437747165,0.2585145409155724,0.1219164085155456,-0.9995841312567748,0.4956989247311828
composite_pca,2,0.006666989125649266,0.0873301352730973,0.2206891095168506,0.39571565386387697,-0.9974473353292475,0.5075268817204301
composite_pca,3,0.003485186875812356,0.04481204588875287,0.2127104827155708,0.2106715443294537,-0.9967563453801491,0.5150537634408602
composite_pca,4,0.0032962970712715513,0.042336721160640245,0.2291657520296146,0.18474279330870158,-0.9987890429275375,0.5
composite_pca,5,-0.00013810848337551392,-0.0017387736460190428,0.2097741310478111,-0.008288789648818741,-0.999831824221845,0.4720430107526882
composite_pca,G5-G1,-0.0026038970121500496,-0.03231812999583328,0.22780760840152883,-0.14186589386808376,-0.9994922549841975,0.5075268817204301
composite_pca_size_neutral,1,0.002208084784100178,0.028180974630650946,0.25755400886171287,0.10941772855798183,-0.9983843061617756,0.47956989247311826
composite_pca_size_neutral,2,0.0013682087956500375,0.01737689978276835,0.21759161926837595,0.07986015197274582,-0.9998120453272433,0.4720430107526882
composite_pca_size_neutral,3,0.0009868580421672967,0.01250583188206389,0.2250224506777747,0.05557592962122637,-0.999895748162915,0.4838709677419355
composite_pca_size_neutral,4,0.005980620951331137,0.07802577379765685,0.2188278633101483,0.35656233450979524,-0.9937126290762165,0.513978494623656
composite_pca_size_neutral,5,0.005242356721033941,0.06809977547446544,0.19623209708900494,0.34703688379570974,-0.9924393219381452,0.5193548387096775
composite_pca_size_neutral,G5-G1,0.0030342719369337618,0.038911926117552564,0.2129192983897342,0.18275434125434203,-0.9818852348834899,0.5451612903225806
composite_pca_industry_size_neutral,1,0.0009878099673541207,0.012517964231662626,0.25302515608650206,0.04947320031445052,-0.9992739417347369,0.478494623655914
composite_pca_industry_size_neutral,2,0.0029808599776988934,0.03821507839488447,0.22070422973803594,0.17315063893539204,-0.9994048203554591,0.4946236559139785
composite_pca_industry_size_neutral,3,0.00023045218757657542,0.002907581873537568,0.21600253140357034,0.013460869438169501,-0.9996110367225213,0.4881720430107527
composite_pca_industry_size_neutral,4,0.005322362040260919,0.06917137111174765,0.22401428358281378,0.30878107415939093,-0.9958725591772092,0.5344086021505376
composite_pca_industry_size_neutral,5,0.006339398368300292,0.0828801533633059,0.1965244162281845,0.42172954869421286,-0.9904983167270507,0.5053763440860215
composite_pca_industry_size_neutral,G5-G1,0.00535158840094617,0.06956307735458434,0.210670961797758,0.3301977489492083,-0.9414423149429179,0.5516129032258065
composite_pca_neutral,1,0.002208084784100178,0.028180974630650946,0.25755400886171287,0.10941772855798183,-0.9983843061617756,0.47956989247311826
composite_pca_neutral,2,0.0013682087956500375,0.01737689978276835,0.21759161926837595,0.07986015197274582,-0.9998120453272433,0.4720430107526882
composite_pca_neutral,3,0.0009868580421672967,0.01250583188206389,0.2250224506777747,0.05557592962122637,-0.999895748162915,0.4838709677419355
composite_pca_neutral,4,0.005980620951331137,0.07802577379765685,0.2188278633101483,0.35656233450979524,-0.9937126290762165,0.513978494623656
composite_pca_neutral,5,0.005242356721033941,0.06809977547446544,0.19623209708900494,0.34703688379570974,-0.9924393219381452,0.5193548387096775
composite_pca_neutral,G5-G1,0.0030342719369337618,0.038911926117552564,0.2129192983897342,0.18275434125434203,-0.9818852348834899,0.5451612903225806
composite_rolling_ic_weight,1,-0.0024188231970016976,-0.030053235814280876,0.2557303831475362,-0.11751922256708361,-0.9999884949296826,0.4568421052631579
composite_rolling_ic_weight,2,-0.004543662750607602,-0.055765382913992245,0.22589169241637144,-0.24686779012308052,-0.9999933980785378,0.46421052631578946
composite_rolling_ic_weight,3,0.005419149278923468,0.07046906764749905,0.22091802847239705,0.31898287403150494,-0.998633978330389,0.5273684210526316
composite_rolling_ic_weight,4,0.009300448516819673,0.12371938985324804,0.211583674799096,0.5847303199111307,-0.9927618163236127,0.5210526315789473
composite_rolling_ic_weight,5,0.008361130643210958,0.11061316330970139,0.21405443302973845,0.5167524995585304,-0.987040074399118,0.4978947368421053
composite_rolling_ic_weight,G5-G1,0.010779953840212656,0.14465185150062831,0.23475624377365126,0.6161789317096914,-0.9841111082816683,0.5768421052631579
composite_rolling_ic_weight_size_neutral,1,0.0005583033023398171,0.007057445830036757,0.2584914027387811,0.02730243928912665,-0.9999282281614287,0.4842105263157895
composite_rolling_ic_weight_size_neutral,2,-0.0014608053353181122,-0.018251000115086624,0.22478710719033732,-0.08119237950614616,-0.9998229703565575,0.4557894736842105
composite_rolling_ic_weight_size_neutral,3,0.002957091802513039,0.0379051214436108,0.21935960197736243,0.17279900720973476,-0.999466042780319,0.4905263157894737
composite_rolling_ic_weight_size_neutral,4,0.00831279610052444,0.10994257783523942,0.2071762344096356,0.5306717643002304,-0.9908291475256282,0.5210526315789473
composite_rolling_ic_weight_size_neutral,5,0.005472870605983024,0.07118997398192994,0.20357857625259684,0.34969285713835935,-0.9878565988787302,0.508421052631579
composite_rolling_ic_weight_size_neutral,G5-G1,0.004914567303643205,0.06371966240359095,0.2131057581718554,0.2990048835386482,-0.9774676472680464,0.5515789473684211
composite_rolling_ic_weight_industry_size_neutral,1,-0.00011908116684060338,-0.0014993868399929555,0.2638842857419646,-0.0056819860863526715,-0.9999413288007254,0.4936842105263158
composite_rolling_ic_weight_industry_size_neutral,2,-0.001574290117994793,-0.019655938477259438,0.22172063723941357,-0.08865182204954151,-0.9998328212514994,0.4631578947368421
composite_rolling_ic_weight_industry_size_neutral,3,0.0025441054091489626,0.03253301446211565,0.2151334339272533,0.15122249418989236,-0.9985312220306679,0.5052631578947369
composite_rolling_ic_weight_industry_size_neutral,4,0.007559230256551937,0.09953582209792033,0.20905299932258728,0.47612721377093353,-0.9956000165051012,0.5052631578947369
composite_rolling_ic_weight_industry_size_neutral,5,0.0074839488022249165,0.09850113472982991,0.2032903328528218,0.48453427837684143,-0.9839956431889229,0.5168421052631579
composite_rolling_ic_weight_industry_size_neutral,G5-G1,0.007603029969065522,0.10013822922974569,0.21464400252550692,0.46653168992152905,-0.9307289182468552,0.5568421052631579
